barcode,platform,replicate,bc,leiden_labels_res20,cluster,n_genes,n_counts,percent_mito,umap_1,umap_2,donor_barcode,cluster_label,cell_type,junctions
Parse-1-01_01_08__sParse,Parse,1,01_01_08__sParse,6,GABAergic VIP interneuron,1093,1793,5.80033463469046,-1.7342914,16.803848,01_01_08__sParse-1,VIP 1,GABAergic,345
Parse-1-01_01_14__sParse,Parse,1,01_01_14__sParse,12,12,4485,11310,0.0618921308576481,5.2854543,13.364547,01_01_14__sParse-1,12,12,2241
Parse-1-01_01_40__sParse,Parse,1,01_01_40__sParse,7,Glutamatergic neuron-3,5260,16526,0.199685344305942,-2.391658,-3.4269598,01_01_40__sParse-1,Glu 3,Glutamatergic,3090
Parse-1-01_02_33__sParse,Parse,1,01_02_33__sParse,3,Glutamatergic neuron,3511,8038,0.236377208260761,11.682088,6.1498485,01_02_33__sParse-1,Glu 1,Glutamatergic,1299
Parse-1-01_02_47__sParse,Parse,1,01_02_47__sParse,1,Mural,3259,6428,0.435594275046671,4.510441,9.118673,01_02_47__sParse-1,Mural 1,Mural,1539
Parse-1-01_02_80__sParse,Parse,1,01_02_80__sParse,10,Glutamatergic neuron-5,744,1173,2.0460358056266,1.9978627,7.858792,01_02_80__sParse-1,Glu 5,Glutamatergic,115
Parse-1-01_02_94__sParse,Parse,1,01_02_94__sParse,10,Glutamatergic neuron-5,1120,1916,0.939457202505219,8.321194,5.746256,01_02_94__sParse-1,Glu 5,Glutamatergic,364
Parse-1-01_03_01__sParse,Parse,1,01_03_01__sParse,3,Glutamatergic neuron,1272,1885,0.0530503978779841,10.248781,5.7097874,01_03_01__sParse-1,Glu 1,Glutamatergic,465
Parse-1-01_03_07__sParse,Parse,1,01_03_07__sParse,9,Glutamatergic neuron-4,4625,12186,0.0164122763827343,9.073316,11.05333,01_03_07__sParse-1,Glu 4,Glutamatergic,2181
Parse-1-01_03_12__sParse,Parse,1,01_03_12__sParse,11,GABAergic PVALB interneuron,2878,5663,0.247218788627936,-9.034752,6.8613358,01_03_12__sParse-1,PVALB 1,GABAergic,1185
Parse-1-01_03_21__sParse,Parse,1,01_03_21__sParse,10,Glutamatergic neuron-5,1854,3999,0.70017504376094,8.505766,4.854894,01_03_21__sParse-1,Glu 5,Glutamatergic,552
Parse-1-01_03_32__sParse,Parse,1,01_03_32__sParse,5,Mural-3,4687,13234,0.0831192383255252,2.0453901,4.6709313,01_03_32__sParse-1,Mural 3,Mural,2428
Parse-1-01_03_52__sParse,Parse,1,01_03_52__sParse,2,Mural-2,4346,10381,0.41421828340237,-2.1257584,5.5229497,01_03_52__sParse-1,Mural 2,Mural,2102
Parse-1-01_03_55__sParse,Parse,1,01_03_55__sParse,12,12,2934,5681,0.105615208590037,6.274774,12.679035,01_03_55__sParse-1,12,12,1284
Parse-1-01_03_60__sParse,Parse,1,01_03_60__sParse,3,Glutamatergic neuron,2888,5604,0.0713775874375446,11.004112,7.3672786,01_03_60__sParse-1,Glu 1,Glutamatergic,795
Parse-1-01_03_83__sParse,Parse,1,01_03_83__sParse,2,Mural-2,3060,6368,0.204145728643216,-1.0704728,6.3941007,01_03_83__sParse-1,Mural 2,Mural,1058
Parse-1-01_03_84__sParse,Parse,1,01_03_84__sParse,5,Mural-3,2318,5063,3.12067943906775,2.443081,4.611307,01_03_84__sParse-1,Mural 3,Mural,664
Parse-1-01_04_03__sParse,Parse,1,01_04_03__sParse,4,Glutamatergic neuron-2,4217,10429,0.0767091763352191,11.571054,7.6280384,01_04_03__sParse-1,Glu 2,Glutamatergic,2981
Parse-1-01_04_04__sParse,Parse,1,01_04_04__sParse,12,12,2185,4621,1.10365721705259,4.007685,12.008935,01_04_04__sParse-1,12,12,764
Parse-1-01_04_06__sParse,Parse,1,01_04_06__sParse,15,Mural-5,2772,6132,0.962165688193085,2.4026237,12.376101,01_04_06__sParse-1,Mural 5,Mural,998
Parse-1-01_04_10__sParse,Parse,1,01_04_10__sParse,8,OPC,3213,6723,1.18994496504537,2.78094,20.208063,01_04_10__sParse-1,OPC 1,OPC,1161
Parse-1-01_04_14__sParse,Parse,1,01_04_14__sParse,8,OPC,2211,4944,0.303398058252427,2.3311055,20.77583,01_04_14__sParse-1,OPC 1,OPC,681
Parse-1-01_04_22__sParse,Parse,1,01_04_22__sParse,4,Glutamatergic neuron-2,6608,23040,0.0347222222222222,11.730168,8.083675,01_04_22__sParse-1,Glu 2,Glutamatergic,6606
Parse-1-01_04_24__sParse,Parse,1,01_04_24__sParse,7,Glutamatergic neuron-3,2722,5445,0.0550964187327824,-1.1469909,-2.7577686,01_04_24__sParse-1,Glu 3,Glutamatergic,1327
Parse-1-01_04_31__sParse,Parse,1,01_04_31__sParse,8,OPC,4277,12314,0.479129446158844,3.426103,20.727694,01_04_31__sParse-1,OPC 1,OPC,1927
Parse-1-01_04_55__sParse,Parse,1,01_04_55__sParse,1,Mural,1451,2665,2.4390243902439,3.9252095,8.4768305,01_04_55__sParse-1,Mural 1,Mural,480
Parse-1-01_04_56__sParse,Parse,1,01_04_56__sParse,12,12,3945,9253,0.821355236139631,4.551798,12.754135,01_04_56__sParse-1,12,12,1682
Parse-1-01_04_68__sParse,Parse,1,01_04_68__sParse,1,Mural,3030,5989,0.651193855401569,4.4255114,9.479433,01_04_68__sParse-1,Mural 1,Mural,1118
Parse-1-01_05_05__sParse,Parse,1,01_05_05__sParse,12,12,2848,5293,0.566786321556773,4.52981,11.3975,01_05_05__sParse-1,12,12,1386
Parse-1-01_05_26__sParse,Parse,1,01_05_26__sParse,5,Mural-3,2446,4657,0.193257461885334,2.762046,5.357643,01_05_26__sParse-1,Mural 3,Mural,644
Parse-1-01_05_31__sParse,Parse,1,01_05_31__sParse,3,Glutamatergic neuron,3316,6988,0.0286204922724671,11.228848,7.4297423,01_05_31__sParse-1,Glu 1,Glutamatergic,1362
Parse-1-01_05_45__sParse,Parse,1,01_05_45__sParse,7,Glutamatergic neuron-3,4803,13043,0.13800506018554,-1.1797535,-3.3100848,01_05_45__sParse-1,Glu 3,Glutamatergic,3170
Parse-1-01_05_60__sParse,Parse,1,01_05_60__sParse,1,Mural,3544,7584,0.303270042194093,5.136289,8.608828,01_05_60__sParse-1,Mural 1,Mural,1391
Parse-1-01_05_62__sParse,Parse,1,01_05_62__sParse,13,Mural-4,1439,2472,0.242718446601942,18.023521,7.7167172,01_05_62__sParse-1,Mural 4,Mural,758
Parse-1-01_05_69__sParse,Parse,1,01_05_69__sParse,5,Mural-3,4857,11995,2.65110462692789,1.1583893,5.2136617,01_05_69__sParse-1,Mural 3,Mural,2790
Parse-1-01_06_02__sParse,Parse,1,01_06_02__sParse,2,Mural-2,3039,6113,0.0654343203009979,-0.59410566,6.278965,01_06_02__sParse-1,Mural 2,Mural,1301
Parse-1-01_06_32__sParse,Parse,1,01_06_32__sParse,4,Glutamatergic neuron-2,4097,12004,0.183272242585805,10.5698185,8.316722,01_06_32__sParse-1,Glu 2,Glutamatergic,2190
Parse-1-01_06_52__sParse,Parse,1,01_06_52__sParse,3,Glutamatergic neuron,5476,19607,0.0510021930943031,11.985214,5.5791855,01_06_52__sParse-1,Glu 1,Glutamatergic,3493
Parse-1-01_06_65__sParse,Parse,1,01_06_65__sParse,1,Mural,1628,3078,1.00714749837557,4.138918,8.331738,01_06_65__sParse-1,Mural 1,Mural,521
Parse-1-01_07_10__sParse,Parse,1,01_07_10__sParse,12,12,3533,8004,0.124937531234383,4.954133,11.675187,01_07_10__sParse-1,12,12,1233
Parse-1-01_07_51__sParse,Parse,1,01_07_51__sParse,15,Mural-5,3474,7449,0.134246207544637,2.938887,10.986006,01_07_51__sParse-1,Mural 5,Mural,1620
Parse-1-01_07_77__sParse,Parse,1,01_07_77__sParse,7,Glutamatergic neuron-3,3362,7451,0.147631190444236,-2.0140607,-2.8876297,01_07_77__sParse-1,Glu 3,Glutamatergic,1669
