n_counts_for_gene,n_cryptic,pc_cryptic,gene_name,sample_name
1191,3,0.251889169,AARS1,P86_08
1656,4,0.241545894,AARS1,P63_05
2694,1,0.037119525,AARS1,P11_07
1228,1,0.081433225,AARS1,P40_04
1029,132,12.82798834,AARS1,P13_13
1,0,0,AARS1,ddH2O
1944,0,0,AARS1,P47_11
2187,84,3.840877915,AARS1,P56_13
1664,14,0.841346154,AARS1,P45_15
1915,4,0.208877285,AARS1,P07_15
1475,0,0,AARS1,P17_07
3627,0,0,AARS1,P64_11
1129,3,0.265721878,AARS1,P16_09
2421,89,3.676166873,AARS1,P28_07
1637,2,0.12217471,AARS1,P35_07
141,0,0,ABCD1,P86_08
167,0,0,ABCD1,P63_05
104,0,0,ABCD1,P11_07
61,0,0,ABCD1,P40_04
56,0,0,ABCD1,P13_13
64,0,0,ABCD1,P47_11
152,0,0,ABCD1,P56_13
153,0,0,ABCD1,P45_15
97,0,0,ABCD1,P07_15
80,0,0,ABCD1,P17_07
252,0,0,ABCD1,P64_11
48,0,0,ABCD1,P16_09
266,0,0,ABCD1,P28_07
37,0,0,ABCD1,P35_07
14,0,0,AC016629.3,P86_08
22,0,0,AC016629.3,P63_05
21,0,0,AC016629.3,P11_07
45,0,0,AC016629.3,P40_04
69,0,0,AC016629.3,P13_13
7,0,0,AC016629.3,P47_11
12,0,0,AC016629.3,P56_13
13,0,0,AC016629.3,P45_15
14,0,0,AC016629.3,P07_15
19,0,0,AC016629.3,P64_11
5,0,0,AC016629.3,P16_09
21,0,0,AC016629.3,P28_07
2,0,0,AC016629.3,P35_07
5,0,0,AC022966.1,P86_08
9,0,0,AC022966.1,P63_05
17,0,0,AC022966.1,P11_07
3,0,0,AC022966.1,P40_04
5,0,0,AC022966.1,P13_13
2,0,0,AC022966.1,P47_11
11,0,0,AC022966.1,P56_13
7,0,0,AC022966.1,P45_15
3,0,0,AC022966.1,P07_15
15,0,0,AC022966.1,P64_11
4,0,0,AC022966.1,P16_09
46,0,0,AC022966.1,P28_07
1,0,0,AC022966.1,P35_07
14,0,0,AC064807.1,P86_08
22,0,0,AC064807.1,P63_05
40,0,0,AC064807.1,P11_07
7,0,0,AC064807.1,P40_04
6,0,0,AC064807.1,P47_11
37,0,0,AC064807.1,P56_13
54,0,0,AC064807.1,P45_15
37,0,0,AC064807.1,P07_15
53,0,0,AC064807.1,P17_07
193,0,0,AC064807.1,P64_11
22,0,0,AC064807.1,P16_09
24,0,0,AC064807.1,P28_07
30,0,0,AC064807.1,P35_07
813,120,14.7601476,ACTL6B,P86_08
563,50,8.880994671,ACTL6B,P63_05
273,21,7.692307692,ACTL6B,P11_07
1745,132,7.564469914,ACTL6B,P40_04
623,32,5.136436597,ACTL6B,P13_13
2,0,0,ACTL6B,ddH2O
4017,91,2.265372168,ACTL6B,P47_11
2977,482,16.1907961,ACTL6B,P56_13
1660,471,28.37349398,ACTL6B,P45_15
832,72,8.653846154,ACTL6B,P07_15
1286,179,13.91912908,ACTL6B,P17_07
1777,4,0.225098481,ACTL6B,P64_11
2212,188,8.499095841,ACTL6B,P16_09
590,249,42.20338983,ACTL6B,P28_07
3508,44,1.254275941,ACTL6B,P35_07
8631,0,0,ADARB2,P86_08
3453,0,0,ADARB2,P63_05
811,0,0,ADARB2,P11_07
6241,17,0.272392245,ADARB2,P40_04
8468,0,0,ADARB2,P13_13
2,0,0,ADARB2,ddH2O
9603,1,0.010413412,ADARB2,P47_11
12226,117,0.956976934,ADARB2,P56_13
12043,0,0,ADARB2,P45_15
7256,0,0,ADARB2,P07_15
13374,0,0,ADARB2,P17_07
24572,0,0,ADARB2,P64_11
6896,0,0,ADARB2,P16_09
7220,0,0,ADARB2,P28_07
5872,0,0,ADARB2,P35_07
613,5,0.815660685,ADCY1,P86_08
521,39,7.485604607,ADCY1,P63_05
66,0,0,ADCY1,P11_07
887,3,0.338218715,ADCY1,P40_04
1178,0,0,ADCY1,P13_13
2,0,0,ADCY1,ddH2O
3034,3,0.098879367,ADCY1,P47_11
1972,103,5.223123732,ADCY1,P56_13
998,53,5.310621242,ADCY1,P45_15
1085,33,3.041474654,ADCY1,P07_15
2473,0,0,ADCY1,P17_07
1867,0,0,ADCY1,P64_11
1099,21,1.910828025,ADCY1,P16_09
438,35,7.99086758,ADCY1,P28_07
1169,0,0,ADCY1,P35_07
21568,0,0,ADGRL1,P86_08
25035,0,0,ADGRL1,P63_05
17303,0,0,ADGRL1,P11_07
43645,0,0,ADGRL1,P40_04
30255,0,0,ADGRL1,P13_13
15,0,0,ADGRL1,ddH2O
38789,0,0,ADGRL1,P47_11
57414,0,0,ADGRL1,P56_13
36183,0,0,ADGRL1,P45_15
30835,0,0,ADGRL1,P07_15
13188,0,0,ADGRL1,P17_07
55770,0,0,ADGRL1,P64_11
27421,0,0,ADGRL1,P16_09
38806,0,0,ADGRL1,P28_07
42065,0,0,ADGRL1,P35_07
14855,25,0.168293504,AGRN,P86_08
13480,18,0.133531157,AGRN,P63_05
23421,25,0.106741813,AGRN,P11_07
13559,36,0.265506306,AGRN,P40_04
15222,17,0.111680462,AGRN,P13_13
2,0,0,AGRN,ddH2O
13535,20,0.147765054,AGRN,P47_11
28798,26,0.090284048,AGRN,P56_13
23917,23,0.096165907,AGRN,P45_15
27750,27,0.097297297,AGRN,P07_15
11907,61,0.512303687,AGRN,P17_07
47313,21,0.044385264,AGRN,P64_11
8880,22,0.247747748,AGRN,P16_09
43081,68,0.157842204,AGRN,P28_07
8226,12,0.14587892,AGRN,P35_07
292,0,0,AKT3,P86_08
414,0,0,AKT3,P63_05
348,0,0,AKT3,P11_07
748,0,0,AKT3,P40_04
283,0,0,AKT3,P13_13
574,0,0,AKT3,P47_11
528,0,0,AKT3,P56_13
588,0,0,AKT3,P45_15
475,0,0,AKT3,P07_15
207,0,0,AKT3,P17_07
872,0,0,AKT3,P64_11
431,0,0,AKT3,P16_09
570,0,0,AKT3,P28_07
456,0,0,AKT3,P35_07
2,0,0,AL161908.1,P11_07
3,0,0,AL161908.1,P17_07
115,0,0,AL161908.1,P64_11
2,0,0,AL161908.1,P28_07
5365,11,0.205032619,ARHGAP32,P86_08
6525,24,0.367816092,ARHGAP32,P63_05
4698,1,0.021285653,ARHGAP32,P11_07
15626,12,0.076795085,ARHGAP32,P40_04
7044,17,0.241340148,ARHGAP32,P13_13
4,0,0,ARHGAP32,ddH2O
13375,14,0.104672897,ARHGAP32,P47_11
14215,101,0.710517059,ARHGAP32,P56_13
7556,109,1.442562202,ARHGAP32,P45_15
5461,17,0.311298297,ARHGAP32,P07_15
7530,2,0.026560425,ARHGAP32,P17_07
15361,0,0,ARHGAP32,P64_11
11695,12,0.102607952,ARHGAP32,P16_09
8980,19,0.211581292,ARHGAP32,P28_07
16978,6,0.035339852,ARHGAP32,P35_07
6089,71,1.166037116,ATG4B,P86_08
10184,102,1.001571092,ATG4B,P63_05
14779,18,0.121794438,ATG4B,P11_07
7536,73,0.968683652,ATG4B,P40_04
4527,50,1.104484206,ATG4B,P13_13
7,0,0,ATG4B,ddH2O
7824,1,0.012781186,ATG4B,P47_11
10318,537,5.204496996,ATG4B,P56_13
8112,350,4.314595661,ATG4B,P45_15
7422,60,0.808407437,ATG4B,P07_15
6701,0,0,ATG4B,P17_07
15394,3,0.019488112,ATG4B,P64_11
5242,43,0.820297596,ATG4B,P16_09
10342,194,1.875846065,ATG4B,P28_07
5275,3,0.056872038,ATG4B,P35_07
605,1,0.165289256,ATP8A2,P86_08
621,15,2.415458937,ATP8A2,P63_05
86,0,0,ATP8A2,P11_07
1054,6,0.569259962,ATP8A2,P40_04
358,3,0.837988827,ATP8A2,P13_13
2670,0,0,ATP8A2,P47_11
1475,14,0.949152542,ATP8A2,P56_13
1534,14,0.912646675,ATP8A2,P45_15
934,7,0.749464668,ATP8A2,P07_15
290,0,0,ATP8A2,P17_07
1127,0,0,ATP8A2,P64_11
1041,3,0.288184438,ATP8A2,P16_09
479,15,3.131524008,ATP8A2,P28_07
1644,0,0,ATP8A2,P35_07
5319,225,4.230118443,ATXN1,P86_08
5713,350,6.126378435,ATXN1,P63_05
6620,54,0.81570997,ATXN1,P11_07
5266,189,3.589061907,ATXN1,P40_04
2904,74,2.548209366,ATXN1,P13_13
2,0,0,ATXN1,ddH2O
15431,57,0.3693863,ATXN1,P47_11
7716,664,8.605495075,ATXN1,P56_13
15432,791,5.125712805,ATXN1,P45_15
10070,511,5.074478649,ATXN1,P07_15
2267,1,0.04411116,ATXN1,P17_07
10563,126,1.192842942,ATXN1,P64_11
4685,89,1.899679829,ATXN1,P16_09
9182,1188,12.93835766,ATXN1,P28_07
4847,38,0.783990097,ATXN1,P35_07
2673,21,0.785634119,BCKDHB,P86_08
1335,42,3.146067416,BCKDHB,P63_05
2924,36,1.23119015,BCKDHB,P11_07
1677,14,0.834824091,BCKDHB,P40_04
1750,26,1.485714286,BCKDHB,P13_13
2525,57,2.257425743,BCKDHB,P47_11
2623,18,0.686237133,BCKDHB,P56_13
3418,66,1.930953774,BCKDHB,P45_15
2130,57,2.676056338,BCKDHB,P07_15
1676,14,0.835322196,BCKDHB,P17_07
4998,22,0.44017607,BCKDHB,P64_11
1492,18,1.206434316,BCKDHB,P16_09
6297,24,0.381133873,BCKDHB,P28_07
1048,10,0.954198473,BCKDHB,P35_07
2046,42,2.052785924,C20orf194,P86_08
1315,2,0.152091255,C20orf194,P63_05
974,0,0,C20orf194,P11_07
1345,7,0.520446097,C20orf194,P40_04
1699,22,1.294879341,C20orf194,P13_13
3866,5,0.129332644,C20orf194,P47_11
2432,110,4.523026316,C20orf194,P56_13
2728,36,1.319648094,C20orf194,P45_15
1645,3,0.182370821,C20orf194,P07_15
917,0,0,C20orf194,P17_07
3609,0,0,C20orf194,P64_11
1423,14,0.983836964,C20orf194,P16_09
3206,12,0.374298191,C20orf194,P28_07
1025,4,0.390243902,C20orf194,P35_07
706,0,0,CADPS,P86_08
523,0,0,CADPS,P63_05
102,0,0,CADPS,P11_07
2696,0,0,CADPS,P40_04
526,0,0,CADPS,P13_13
3624,0,0,CADPS,P47_11
3354,0,0,CADPS,P56_13
1213,0,0,CADPS,P45_15
625,0,0,CADPS,P07_15
1672,0,0,CADPS,P17_07
958,0,0,CADPS,P64_11
2493,0,0,CADPS,P16_09
432,0,0,CADPS,P28_07
4227,0,0,CADPS,P35_07
6971,28,0.401664037,CAMK2B,P86_08
2991,63,2.106318957,CAMK2B,P63_05
1090,2,0.183486239,CAMK2B,P11_07
13162,37,0.281112293,CAMK2B,P40_04
3786,0,0,CAMK2B,P13_13
12,0,0,CAMK2B,ddH2O
14840,1,0.006738544,CAMK2B,P47_11
16452,158,0.96036956,CAMK2B,P56_13
7548,191,2.530471648,CAMK2B,P45_15
5707,68,1.191519187,CAMK2B,P07_15
8127,0,0,CAMK2B,P17_07
11349,9,0.079302141,CAMK2B,P64_11
14025,29,0.206773619,CAMK2B,P16_09
8591,95,1.105808404,CAMK2B,P28_07
19364,1,0.005164222,CAMK2B,P35_07
959,0,0,CDH4,P86_08
487,0,0,CDH4,P63_05
427,0,0,CDH4,P11_07
1281,0,0,CDH4,P40_04
663,0,0,CDH4,P13_13
948,0,0,CDH4,P47_11
1777,0,0,CDH4,P56_13
1883,0,0,CDH4,P45_15
947,0,0,CDH4,P07_15
637,0,0,CDH4,P17_07
2516,0,0,CDH4,P64_11
768,0,0,CDH4,P16_09
2386,0,0,CDH4,P28_07
639,0,0,CDH4,P35_07
1315,0,0,CDK7,P86_08
1187,0,0,CDK7,P63_05
3057,0,0,CDK7,P11_07
1329,0,0,CDK7,P40_04
901,0,0,CDK7,P13_13
3142,0,0,CDK7,P47_11
1744,0,0,CDK7,P56_13
1998,0,0,CDK7,P45_15
1516,0,0,CDK7,P07_15
678,0,0,CDK7,P17_07
3475,0,0,CDK7,P64_11
1433,0,0,CDK7,P16_09
2407,0,0,CDK7,P28_07
1384,0,0,CDK7,P35_07
26654,374,1.403166504,CELF5,P86_08
23433,588,2.509281782,CELF5,P63_05
4138,30,0.724987917,CELF5,P11_07
102333,339,0.331271437,CELF5,P40_04
23388,3,0.012827091,CELF5,P13_13
25,0,0,CELF5,ddH2O
131155,9,0.00686211,CELF5,P47_11
80321,1612,2.006947125,CELF5,P56_13
37179,2282,6.137873531,CELF5,P45_15
26368,369,1.399423544,CELF5,P07_15
54777,0,0,CELF5,P17_07
43349,0,0,CELF5,P64_11
73084,380,0.519949647,CELF5,P16_09
11797,1050,8.900567941,CELF5,P28_07
39370,9,0.022860046,CELF5,P35_07
474,22,4.641350211,CEP290,P86_08
656,78,11.8902439,CEP290,P63_05
423,0,0,CEP290,P11_07
622,25,4.019292605,CEP290,P40_04
588,28,4.761904762,CEP290,P13_13
633,1,0.157977883,CEP290,P47_11
916,175,19.10480349,CEP290,P56_13
743,159,21.39973082,CEP290,P45_15
499,24,4.809619238,CEP290,P07_15
1288,0,0,CEP290,P17_07
1304,36,2.760736196,CEP290,P64_11
416,15,3.605769231,CEP290,P16_09
1388,95,6.844380403,CEP290,P28_07
245,7,2.857142857,CEP290,P35_07
44921,161,0.358406981,CRTC1,P86_08
25088,81,0.32286352,CRTC1,P63_05
8616,89,1.032961931,CRTC1,P11_07
96812,4,0.004131719,CRTC1,P40_04
50308,69,0.137155124,CRTC1,P13_13
19,0,0,CRTC1,ddH2O
139614,9,0.006446345,CRTC1,P47_11
66500,259,0.389473684,CRTC1,P56_13
58412,246,0.42114634,CRTC1,P45_15
38375,38,0.099022801,CRTC1,P07_15
36558,10,0.027353794,CRTC1,P17_07
171286,91,0.053127518,CRTC1,P64_11
46344,23,0.049628862,CRTC1,P16_09
42867,370,0.863134812,CRTC1,P28_07
62060,23,0.037060909,CRTC1,P35_07
7599,0,0,DAPK1,P86_08
2213,0,0,DAPK1,P63_05
23182,47,0.202743508,DAPK1,P11_07
8671,0,0,DAPK1,P40_04
6075,0,0,DAPK1,P13_13
1,0,0,DAPK1,ddH2O
10538,0,0,DAPK1,P47_11
11571,4,0.034569182,DAPK1,P56_13
11573,1,0.008640802,DAPK1,P45_15
5753,0,0,DAPK1,P07_15
15022,0,0,DAPK1,P17_07
14247,0,0,DAPK1,P64_11
6117,0,0,DAPK1,P16_09
15889,8,0.050349298,DAPK1,P28_07
8035,4,0.049782203,DAPK1,P35_07
1036,174,16.7953668,DIP2A,P86_08
1581,251,15.87602783,DIP2A,P63_05
1542,210,13.61867704,DIP2A,P11_07
676,116,17.15976331,DIP2A,P40_04
604,27,4.470198675,DIP2A,P13_13
1157,46,3.975799481,DIP2A,P47_11
1628,119,7.30958231,DIP2A,P56_13
1359,207,15.23178808,DIP2A,P45_15
740,108,14.59459459,DIP2A,P07_15
846,45,5.319148936,DIP2A,P17_07
1624,77,4.74137931,DIP2A,P64_11
617,65,10.53484603,DIP2A,P16_09
1805,223,12.35457064,DIP2A,P28_07
786,61,7.760814249,DIP2A,P35_07
3444,0,0,DLGAP1,P86_08
1668,0,0,DLGAP1,P63_05
970,4,0.412371134,DLGAP1,P11_07
14037,0,0,DLGAP1,P40_04
3802,0,0,DLGAP1,P13_13
3,0,0,DLGAP1,ddH2O
6200,0,0,DLGAP1,P47_11
5315,26,0.489181562,DLGAP1,P56_13
3315,13,0.392156863,DLGAP1,P45_15
2352,1,0.042517007,DLGAP1,P07_15
5146,0,0,DLGAP1,P17_07
6983,0,0,DLGAP1,P64_11
4719,4,0.084763721,DLGAP1,P16_09
2465,21,0.851926978,DLGAP1,P28_07
3778,0,0,DLGAP1,P35_07
93,0,0,DLGAP3,P86_08
277,0,0,DLGAP3,P63_05
86,0,0,DLGAP3,P11_07
490,0,0,DLGAP3,P40_04
145,0,0,DLGAP3,P13_13
734,0,0,DLGAP3,P47_11
589,0,0,DLGAP3,P56_13
416,0,0,DLGAP3,P45_15
263,0,0,DLGAP3,P07_15
404,0,0,DLGAP3,P17_07
1087,0,0,DLGAP3,P64_11
506,0,0,DLGAP3,P16_09
381,0,0,DLGAP3,P28_07
251,0,0,DLGAP3,P35_07
1690,1188,70.29585799,DNM1,P86_08
2087,1495,71.63392429,DNM1,P63_05
416,147,35.33653846,DNM1,P11_07
9899,6866,69.36054147,DNM1,P40_04
3068,2396,78.09647979,DNM1,P13_13
15,12,80,DNM1,ddH2O
9236,7198,77.93417064,DNM1,P47_11
12427,10208,82.14371932,DNM1,P56_13
4124,2835,68.74393792,DNM1,P45_15
2351,1525,64.86601446,DNM1,P07_15
2566,1273,49.61028839,DNM1,P17_07
5816,4105,70.58115543,DNM1,P64_11
11273,8946,79.35775747,DNM1,P16_09
1125,572,50.84444444,DNM1,P28_07
23334,21873,93.73875032,DNM1,P35_07
1541,4,0.259571707,ELAVL3,P86_08
2128,4,0.187969925,ELAVL3,P63_05
677,3,0.443131462,ELAVL3,P11_07
2189,5,0.228414801,ELAVL3,P40_04
3040,79,2.598684211,ELAVL3,P13_13
2,0,0,ELAVL3,ddH2O
3968,7,0.17641129,ELAVL3,P47_11
2767,85,3.071919046,ELAVL3,P56_13
1724,12,0.696055684,ELAVL3,P45_15
1629,1,0.061387354,ELAVL3,P07_15
1622,0,0,ELAVL3,P17_07
3288,0,0,ELAVL3,P64_11
1499,1,0.066711141,ELAVL3,P16_09
1754,13,0.741163056,ELAVL3,P28_07
1885,0,0,ELAVL3,P35_07
1826,0,0,EPB41L4A,P86_08
2539,68,2.678219772,EPB41L4A,P63_05
14071,4,0.028427262,EPB41L4A,P11_07
1562,30,1.920614597,EPB41L4A,P40_04
1449,41,2.829537612,EPB41L4A,P13_13
1862,0,0,EPB41L4A,P47_11
1483,114,7.687120701,EPB41L4A,P56_13
2966,4,0.134861767,EPB41L4A,P45_15
1906,156,8.184679958,EPB41L4A,P07_15
600,0,0,EPB41L4A,P17_07
2519,0,0,EPB41L4A,P64_11
737,34,4.613297151,EPB41L4A,P16_09
4101,62,1.511826384,EPB41L4A,P28_07
401,0,0,EPB41L4A,P35_07
2,0,0,EPHA5-AS1,P56_13
1,0,0,EPHA5-AS1,P28_07
3,0,0,EPHA5-AS1,P35_07
903,0,0,ETV5,P86_08
2126,0,0,ETV5,P63_05
1009,0,0,ETV5,P11_07
1965,0,0,ETV5,P40_04
2454,8,0.32599837,ETV5,P13_13
1305,0,0,ETV5,P47_11
1592,0,0,ETV5,P56_13
3034,0,0,ETV5,P45_15
973,0,0,ETV5,P07_15
376,0,0,ETV5,P17_07
