Sample,RNAseq_STAR_uniquely_mapped_percent,RNAseq_STAR_uniquely_mapped,RNAseq_percent_trimmed,RNAseq_Salmon_num_mapped,RNAseq_Salomn_percent_mapped,RNAseq_total_sequences,smRNAseq_STAR_uniquely_mapped_percent,smRNAseq_STAR_uniquely_mapped,CAGEseq_total_sequences,CAGEseq_STAR_uniquely_mapped,CAGEseq_STAR_uniquely_mapped_percent
rimod27,87.76,59067229,2.79057838471235,34895466,51.8436373396,67309062,65.72,2528502,10249720,7745199,0.7556498129
rimod18,86.27,117617592,3.79361656545804,60854915,44.6380822781,136329591,78.23,3857419,24109642,17499083,0.7258126438
rimod38,93.41,202164053,2.67060603995769,91702561,42.3697477361,216434050,63.44,3235397,34304121,27206201,0.7930884164
rimod61,NA,NA,NA,NA,NA,NA,70.45,3361355,28248519,20200214,0.7150893114
rimod59,88.44,56550086,1.17650644824843,27904270,43.6424584273,63938355,78.58,2642223,26866599,20806803,0.7744487123
rimod43,83.47,64722649,2.39478690230382,35918652,46.3250614588,77536113,50.8,3656895,23336035,16533499,0.7084964948
rimod34,89.14,68542118,1.37399379706376,35328608,45.9467378423,76890351,78.01,3111775,11479519,9043902,0.7878293507
rimod37,89.13,56681441,2.36592654175409,32288539,50.770496406,63597052,73.71,2608373,31264259,25190479,0.8057276841
rimod62,87.5,64057637,5.14058391694535,34338361,46.903530786,73210610,85.17,5191097,28916964,23003038,0.79548593
rimod68,91.95,77607959,3.37919474098643,40343908,47.8009566659,84399792,73.82,4146849,46699032,37816255,0.8097866996
rimod19,89.55,73722540,4.5101410067301,39198129,47.611744663,82328697,83.44,4260849,16688607,12693014,0.7605795978
rimod66,94.47,108992702,2.58127345728973,52120003,45.1732454969,115378035,NA,NA,40572424,32711555,0.8062509403
rimod31,86.86,145507705,4.55962421696328,68979546,41.176667122,167520955,79.47,5369670,23121080,17388649,0.7520690642
rimod47,83.57,75812179,1.6740054223464,40654009,44.8161389479,90712877,78.64,3961521,18208934,14075269,0.7729869854
rimod28,81.84,54159691,1.47651805671486,29870301,45.1384300248,66174878,80.68,4097934,28284511,11687062,0.4131965371
rimod58,91.86,158470038,2.33834058934996,77664265,45.0208294246,172507406,69.59,2955836,31005728,22153806,0.7145068808
rimod29,91.61,104883021,2.56521601993844,48326285,42.212744865,114482688,84.58,4614977,10568856,7884745,0.7460358056
rimod11,88.22,154955298,3.79190068797606,74838739,42.6053837216,175655592,77.07,4038837,32022254,26148873,0.8165843978
rimod39,74.87,35896984,1.37347103471509,19903075,41.5143812696,47942603,NA,NA,11713582,8223462,0.7020450277
rimod40,90.11,79545017,1.36476155171043,38697876,43.8383941552,88273936,72.51,4237456,11715774,9043398,0.7718993214
rimod30,88.77,51250488,1.4564810400958,29518224,51.1266607249,57735482,87.3,5280611,32440935,25658926,0.7909428628
rimod24,88.34,73661358,3.62418799425912,37271406,44.6977734405,83385375,77.28,5668724,29524707,23754505,0.8045636151
rimod51,91.23,88206628,3.31218315226909,54341989,56.2043923583,96686374,NA,NA,17101448,13184750,0.770972727
rimod2,79.86,52425982,1.56762962984692,28450373,43.3384536525,65646950,84.96,4281995,6183287,4194364,0.6783388835
rimod64,92.61,83296529,2.66184931854988,42079121,46.7829584711,89945404,88.88,5202418,28249838,23115180,0.8182411524
rimod35,89.1,54348812,3.17224497731361,27169998,44.5424283219,60998017,80.3,2683590,11573469,9118632,0.7878909945
rimod72,NA,NA,NA,NA,NA,NA,63.71,4012728,NA,NA,NA
rimod16,87.04,58233495,1.93261174361084,30361947,45.3789210792,66907600,83.22,3489603,12690880,10009516,0.7887172521
rimod12,90.43,52129288,1.60770946542718,26651070,46.2321615856,57646169,84.26,4656813,17770659,12736367,0.7167076359
rimod33,85.78,63924812,1.23660159916246,30061364,40.339124732,74521607,77.45,3272460,10618518,7895996,0.743606217
rimod7,92.3,92199521,2.91335428105448,45246053,45.2940279815,99894081,86.48,4022299,41700398,32186794,0.7718581967
rimod15,83.36,64184857,1.89409337608268,31171390,40.4849067711,76995089,66.87,5075178,22676685,15695081,0.6921241354
rimod48,90.48,70454126,1.48268110927119,39726282,51.0191296105,77865464,NA,NA,15802932,12414913,0.7856082023
rimod71,88.31,61657293,4.17443231326988,28937804,41.446481993,69819687,77.46,4864906,12341375,9289936,0.7527472425
rimod32,90.68,48347809,1.36531039412543,26435374,49.5842326659,53314073,88.21,4831414,15574608,12566622,0.8068660219
rimod44,89.88,70512632,1.44616320848896,37453082,47.7385709882,78454552,84.52,4535152,42182569,34502410,0.8179305058
rimod65,86.92,70156873,1.18796179101721,34871720,43.2049707624,80712287,86.91,4694609,44858647,34901820,0.7780399618
rimod22,NA,NA,NA,NA,NA,NA,43.12,2537840,NA,NA,NA
rimod54,86.74,74118412,2.98774617904669,36115390,42.2656285612,85448605,65.84,2823200,22634833,16758859,0.7404012656
rimod52,89.32,64032918,1.49569382479995,30735539,42.8732843472,71689257,83.9,3738391,14692984,11352534,0.772649994
rimod36,90.07,132676003,4.35226289125425,76959885,52.2456860043,147303808,84.06,6216251,47731385,39485522,0.8272444221
rimod1,89.69,71056062,2.32611478140085,35080150,44.2810017946,79221672,85.81,4750604,16455932,12174797,0.7398424471
rimod56,92.59,79312940,1.77176793568556,41140560,48.0288600721,85657998,NA,NA,14798123,12165786,0.822116832
rimod13,NA,NA,NA,NA,NA,NA,75.06,3604262,6700164,4694608,0.7006706105
rimod60,88.41,60942488,3.3140677936455,31317076,45.4303512568,68934259,50.94,3742380,26907722,21458126,0.7974709267
rimod3,89.57,59450586,1.33488112535124,31594693,47.5989626625,66376852,88.85,5655257,18885804,15349143,0.8127344221
rimod53,82.06,49705214,5.61802374636909,24265257,40.0627336304,60568151,70.45,3510496,20090990,13730549,0.6834182387
rimod57,92.31,215704018,2.43544398244475,114090111,48.8240247176,233676170,83.46,4041313,49961708,39991768,0.8004483754
rimod42,92.72,92412197,2.43041576866705,45428378,45.5773928301,99673051,74.02,3178855,14561629,10996167,0.7551467628
rimod41,90.74,63273217,1.9115758409674,34370120,49.2878885769,69733399,87.75,6298193,12844186,10333552,0.8045314822
rimod25,89.81,66926380,4.59894211146715,34268757,45.9875272525,74517503,86.99,5325920,14921445,11993155,0.8037529207
