le_id,timing,gene_name,variable,value,nmdi,plotName
ENSG00000011114.15_3,Late,BTBD7,mean_PPAU_CTRLchx.x,0.0672128270555768,Control,
ENSG00000072756.17_5,Late,TRNT1,mean_PPAU_CTRLchx.x,0.0331556133533636,Control,
ENSG00000085063.17_2,Late,CD59,mean_PPAU_CTRLchx.x,0.0471481912222782,Control,
ENSG00000092140.16_1,Late,G2E3,mean_PPAU_CTRLchx.x,0,Control,
ENSG00000103264.18_3,Late,FBXO31,mean_PPAU_CTRLchx.x,0.0111368841467365,Control,
ENSG00000104435.14_1,Early,STMN2,mean_PPAU_CTRLchx.x,0.0211019325656438,Control,
ENSG00000108587.16_4,Late,GOSR1,mean_PPAU_CTRLchx.x,0.00853192816608018,Control,
ENSG00000112200.17_3,Late,ZNF451,mean_PPAU_CTRLchx.x,0.0391128205824639,Control,
ENSG00000115107.20_2,Late,STEAP3,mean_PPAU_CTRLchx.x,0.027387728362091,Control,
ENSG00000115904.15_3,Late,SOS1,mean_PPAU_CTRLchx.x,0.0521982767577482,Control,
ENSG00000116128.12_2,Late,BCL9,mean_PPAU_CTRLchx.x,0.0552121404911935,Control,
ENSG00000117020.19_2,Late,AKT3,mean_PPAU_CTRLchx.x,0.00954426435469127,Control,
ENSG00000119392.16_1,Late,GLE1,mean_PPAU_CTRLchx.x,0.0515599534135501,Control,
ENSG00000125676.20_3,Late,THOC2,mean_PPAU_CTRLchx.x,0.175277572812939,Control,
ENSG00000126767.18_2,Early,ELK1,mean_PPAU_CTRLchx.x,0.0436423627244812,Control,
ENSG00000134909.19_1,Early,ARHGAP32,mean_PPAU_CTRLchx.x,0.0424047579270492,Control,
ENSG00000135387.21_2,Early,CAPRIN1,mean_PPAU_CTRLchx.x,0.0940143957644272,Control,
ENSG00000138083.5_2,Early,SIX3,mean_PPAU_CTRLchx.x,0.0664296056152864,Control,
ENSG00000138606.20_7,Late,SHF,mean_PPAU_CTRLchx.x,0.0573973409420365,Control,
ENSG00000139910.20_7,Late,NOVA1,mean_PPAU_CTRLchx.x,0.0607410367804588,Control,
ENSG00000140750.17_5,Late,ARHGAP17,mean_PPAU_CTRLchx.x,0.00141661710985044,Control,
ENSG00000143434.17_3,Late,SEMA6C,mean_PPAU_CTRLchx.x,0.092048074021048,Control,
ENSG00000151692.15_2,Late,RNF144A,mean_PPAU_CTRLchx.x,0.00665078734432616,Control,
ENSG00000151692.15_6,Late,RNF144A,mean_PPAU_CTRLchx.x,0.0972557319876395,Control,
ENSG00000152061.24_1,Late,RABGAP1L,mean_PPAU_CTRLchx.x,0.0339184504941322,Control,
ENSG00000162849.16_2,Late,KIF26B,mean_PPAU_CTRLchx.x,0.00293332591319947,Control,
ENSG00000171094.18_1,Early,ALK,mean_PPAU_CTRLchx.x,0.0298306329642059,Control,
ENSG00000172915.20_3,Late,NBEA,mean_PPAU_CTRLchx.x,0.0233293833269491,Control,
ENSG00000181090.21_6,Late,EHMT1,mean_PPAU_CTRLchx.x,0.0162122837475789,Control,
ENSG00000182010.11_1,Late,RTKN2,mean_PPAU_CTRLchx.x,0.0474487527470848,Control,
ENSG00000182903.16_2,Late,ZNF721,mean_PPAU_CTRLchx.x,0.0397428056088585,Control,
ENSG00000187951.11_3,Late,ENSG00000187951,mean_PPAU_CTRLchx.x,0.0268032651582146,Control,
ENSG00000197724.11_1,Late,PHF2,mean_PPAU_CTRLchx.x,0.00243613005796624,Control,
ENSG00000198373.13_3,Late,WWP2,mean_PPAU_CTRLchx.x,0.0754954856082749,Control,
ENSG00000198908.12_1,Late,BHLHB9,mean_PPAU_CTRLchx.x,0.0302524804010425,Control,
ENSG00000198952.8_2,Late,SMG5,mean_PPAU_CTRLchx.x,0.0419485510169845,Control,
ENSG00000216895.9_4,Late,ENSG00000216895,mean_PPAU_CTRLchx.x,0.0384768293806477,Control,
ENSG00000254093.9_4,Late,PINX1,mean_PPAU_CTRLchx.x,0.0224811466289145,Control,
"ENSG00000268797.1,ENSG00000269858.6,ENSG00000171570.11_2",Late,ENSG00000268797,mean_PPAU_CTRLchx.x,0.118885611649975,Control,
ENSG00000011114.15_3,Late,BTBD7,mean_PPAU_DOXchx.x,0.0807587324997636,KD,BTBD7
ENSG00000072756.17_5,Late,TRNT1,mean_PPAU_DOXchx.x,0.0363969088792895,KD,TRNT1
ENSG00000085063.17_2,Late,CD59,mean_PPAU_DOXchx.x,0.041133393745504,KD,CD59
ENSG00000092140.16_1,Late,G2E3,mean_PPAU_DOXchx.x,0.190312566996692,KD,G2E3
ENSG00000103264.18_3,Late,FBXO31,mean_PPAU_DOXchx.x,0.01648582505677,KD,FBXO31
ENSG00000104435.14_1,Early,STMN2,mean_PPAU_DOXchx.x,0.99519677062493,KD,STMN2
ENSG00000108587.16_4,Late,GOSR1,mean_PPAU_DOXchx.x,0.0194416744460376,KD,GOSR1
ENSG00000112200.17_3,Late,ZNF451,mean_PPAU_DOXchx.x,0.0452561221166172,KD,ZNF451
ENSG00000115107.20_2,Late,STEAP3,mean_PPAU_DOXchx.x,0.113683897896933,KD,STEAP3
ENSG00000115904.15_3,Late,SOS1,mean_PPAU_DOXchx.x,0.0452122214466574,KD,SOS1
ENSG00000116128.12_2,Late,BCL9,mean_PPAU_DOXchx.x,0.0962873809743441,KD,BCL9
ENSG00000117020.19_2,Late,AKT3,mean_PPAU_DOXchx.x,0.0246876128535025,KD,AKT3
ENSG00000119392.16_1,Late,GLE1,mean_PPAU_DOXchx.x,0.144962857637014,KD,GLE1
