sample_id,library_size
CGND-HRA-00013,112990950
CGND-HRA-00015,87909624
CGND-HRA-00017,99693946
CGND-HRA-00018,55337224
CGND-HRA-00019,87483022
CGND-HRA-00022,94581718
CGND-HRA-00027,98960684
CGND-HRA-00028,101899992
CGND-HRA-00029,109213368
CGND-HRA-00031,65422812
CGND-HRA-00032,95809160
CGND-HRA-00034,125239766
CGND-HRA-00036,104600468
CGND-HRA-00041,125639168
CGND-HRA-00042,81091616
CGND-HRA-00043,96736246
CGND-HRA-00045,78636108
CGND-HRA-00046,138127374
CGND-HRA-00047,138854412
CGND-HRA-00048,114879904
CGND-HRA-00050,82501552
CGND-HRA-00055,131382942
CGND-HRA-00056,96579032
CGND-HRA-00057,87658702
CGND-HRA-00059,89860054
CGND-HRA-00060,109721866
CGND-HRA-00061,106758268
CGND-HRA-00062,124476422
CGND-HRA-00064,103604250
CGND-HRA-00069,97264848
CGND-HRA-00070,58148812
CGND-HRA-00071,244358588
CGND-HRA-00073,111419276
CGND-HRA-00074,127098006
CGND-HRA-00075,145243766
CGND-HRA-00076,94622438
CGND-HRA-00078,66535184
CGND-HRA-00083,108543526
CGND-HRA-00085,133616364
CGND-HRA-00087,68579680
CGND-HRA-00088,99431368
CGND-HRA-00090,90836620
CGND-HRA-00092,102518684
EC03,65314976
EC08,93757586
EC09,64813226
EC10,92125652
EC11,68967270
EC13,82264296
EC16,65610720
EC19,69113842
EC21,66474882
EC22-internal-k,65877692
EC24,77367728
EC34-internal-k,77486328
EC40,71046780
EC42-C9,92614796
EC43,95494148
EC47,82410910
EC48,84718298
EC49,102079278
EC50,44926046
EC51,50962590
CGND-HRA-00099,93574596
CGND-HRA-00101,80899458
CGND-HRA-00108,105455414
CGND-HRA-00110,79506988
CGND-HRA-00111,101376764
CGND-HRA-00203,84764186
CGND-HRA-00204,81364224
CGND-HRA-00205,74483326
CGND-HRA-00206,77119978
CGND-HRA-00207,38398588
CGND-HRA-00208,93682400
CGND-HRA-00209,45497514
CGND-HRA-00210,89007020
CGND-HRA-00211,101389330
CGND-HRA-00212,96272002
CGND-HRA-00213,132089330
CGND-HRA-00214,84572120
CGND-HRA-00215,71686360
CGND-HRA-00216,104213042
CGND-HRA-00217,67456512
CGND-HRA-00218,120880772
CGND-HRA-00219,64661158
CGND-HRA-00220,131343176
CGND-HRA-00221,81617000
CGND-HRA-00222,91872880
CGND-HRA-00223,128720040
CGND-HRA-00224,98774662
CGND-HRA-00225,94016012
CGND-HRA-00226,111664742
CGND-HRA-00227,91300232
CGND-HRA-00228,44504254
CGND-HRA-00229,96508246
CGND-HRA-00230,109375040
CGND-HRA-00231,143601630
CGND-HRA-00232,82402392
CGND-HRA-00233,90291340
CGND-HRA-00234,101512320
CGND-HRA-00235,120189538
CGND-HRA-00236,141422288
CGND-HRA-00237,90279698
CGND-HRA-00238,88267730
CGND-HRA-00684,126883128
CGND-HRA-00685,128581094
CGND-HRA-00686,104567082
CGND-HRA-00687,81792418
CGND-HRA-00688,86843238
CGND-HRA-00689,84728256
CGND-HRA-00690,94816870
CGND-HRA-00691,94710888
CGND-HRA-00692,74424636
CGND-HRA-00693,96128486
CGND-HRA-00694,87419624
CGND-HRA-00695,81692562
CGND-HRA-00696,124560976
CGND-HRA-00697,97914652
CGND-HRA-00698,95449978
CGND-HRA-00700,103210186
CGND-HRA-00701,78516728
CGND-HRA-00702,89729958
CGND-HRA-00703,89246270
CGND-HRA-00704,81220370
CGND-HRA-00705,115503270
CGND-HRA-00707,126621554
CGND-HRA-00708,93949268
CGND-HRA-00709,103750278
CGND-HRA-00710,71835038
CGND-HRA-00714,114021758
CGND-HRA-00715,79774726
CGND-HRA-00716,88987866
CGND-HRA-00717,106703426
CGND-HRA-00054,47225292
CGND-HRA-00068,100076688
CGND-HRA-00077,46534404
CGND-HRA-00082,95421082
CGND-HRA-00089,135956896
CGND-HRA-00091,110134074
CGND-HRA-00096,106316958
CGND-HRA-00100,44386862
CGND-HRA-00103,130977592
CGND-HRA-00104,88941488
CGND-HRA-00106,113476924
CGND-HRA-00112,131873906
CGND-HRA-00118,85938612
CGND-HRA-00121,46250952
CGND-HRA-00128,143528904
CGND-HRA-00134,82633408
CGND-HRA-00143,103299148
CGND-HRA-00149,121350224
CGND-HRA-00151,146861922
CGND-HRA-00154,101954188
CGND-HRA-00155,87981856
CGND-HRA-00156,121392354
CGND-HRA-00159,95096196
CGND-HRA-00166,100680202
CGND-HRA-00168,101221406
CGND-HRA-00169,81998666
CGND-HRA-00170,107081358
CGND-HRA-00171,90292580
CGND-HRA-00178,90813150
CGND-HRA-00179,113874476
CGND-HRA-00182,83851694
CGND-HRA-00183,102854912
CGND-HRA-00188,124312582
CGND-HRA-00193,110895296
CGND-HRA-00194,64295562
CGND-HRA-00196,97631622
CGND-HRA-00197,84944940
CGND-HRA-00199,107725336
CGND-HRA-00202,71400660
CGND-HRA-00706,90309636
CGND-HRA-00713,103242288
CGND-HRA-00718,87358958
CGND-HRA-00719,120317198
CGND-HRA-00720,89730026
CGND-HRA-00721,95519700
CGND-HRA-00722,108768826
CGND-HRA-00723,94422444
CGND-HRA-00724,87761004
CGND-HRA-00725,109142622
CGND-HRA-00726,102280478
CGND-HRA-00727,100552058
CGND-HRA-00728,103952834
CGND-HRA-00729,99504314
CGND-HRA-00730,78575060
CGND-HRA-00014,99072320
CGND-HRA-00016,95244212
CGND-HRA-00020,80522240
CGND-HRA-00021,74663402
CGND-HRA-00023,130184708
CGND-HRA-00024,81041624
CGND-HRA-00025,89014440
CGND-HRA-00026,113451418
CGND-HRA-00035,96364372
CGND-HRA-00037,77618808
CGND-HRA-00038,114628932
CGND-HRA-00039,108115686
CGND-HRA-00040,88498186
CGND-HRA-00049,127915182
CGND-HRA-00051,104223556
CGND-HRA-00052,134796584
CGND-HRA-00053,82086596
CGND-HRA-00058,82261192
CGND-HRA-00063,115154502
CGND-HRA-00065,107693028
CGND-HRA-00066,129130090
CGND-HRA-00072,101909316
CGND-HRA-00079,127116342
CGND-HRA-00081,107303756
CGND-HRA-00084,106110316
CGND-HRA-00086,109493138
CGND-HRA-00093,96669084
CGND-HRA-00095,85679376
CGND-HRA-00124,79475670
CGND-HRA-00126,95260982
CGND-HRA-00129,91329218
CGND-HRA-00139,132870532
CGND-HRA-00148,107598704
CGND-HRA-00153,111053554
CGND-HRA-00160,136514732
CGND-HRA-00295,135899088
CGND-HRA-00296,82135544
CGND-HRA-00297,106980416
CGND-HRA-00298,87536136
CGND-HRA-00299,70460240
CGND-HRA-00300,90346898
CGND-HRA-00301,84529708
CGND-HRA-00302,104382324
CGND-HRA-00303,76261350
CGND-HRA-00304,93508516
CGND-HRA-00305,173002948
CGND-HRA-00306,71596802
CGND-HRA-00307,86764778
CGND-HRA-00308,94114854
CGND-HRA-00309,61425546
CGND-HRA-00310,85673192
CGND-HRA-00311,66156608
CGND-HRA-00312,93048966
CGND-HRA-00313,80190232
CGND-HRA-00314,96199398
CGND-HRA-00315,91834966
CGND-HRA-00316,61283454
CGND-HRA-00317,82231866
CGND-HRA-00318,82397504
CGND-HRA-00319,66769758
CGND-HRA-00320,76261492
CGND-HRA-00321,59826710
CGND-HRA-00323,68405258
CGND-HRA-00324,64271216
CGND-HRA-00325,94498750
CGND-HRA-00326,80182036
CGND-HRA-00328,100570760
CGND-HRA-00330,88182840
CGND-HRA-00331,89083878
CGND-HRA-00333,101801426
CGND-HRA-00334,73944162
CGND-HRA-00335,84463358
CGND-HRA-00336,78473636
CGND-HRA-00338,86806268
CGND-HRA-00340,80262182
CGND-HRA-00341,87791016
CGND-HRA-00342,75512372
CGND-HRA-00343,95918552
CGND-HRA-00344,119947950
CGND-HRA-00345,82736936
CGND-HRA-00346,101954408
CGND-HRA-00347,87782678
CGND-HRA-00348,90056888
CGND-HRA-00350,88034780
CGND-HRA-00352,94163822
CGND-HRA-00353,105786028
CGND-HRA-00380,82441442
CGND-HRA-00381,88637128
CGND-HRA-00382,89298550
CGND-HRA-00383,97576120
CGND-HRA-00384,121227928
CGND-HRA-00385,81820210
CGND-HRA-00386,105854674
CGND-HRA-00387,62711592
CGND-HRA-00388,99780012
CGND-HRA-00339,101016378
CGND-HRA-00349,96029084
CGND-HRA-00351,86514050
CGND-HRA-00354,86621024
CGND-HRA-00355,82538104
CGND-HRA-00356,90290878
CGND-HRA-00357,109170122
CGND-HRA-00358,82636324
CGND-HRA-00359,84870920
CGND-HRA-00360,98046368
CGND-HRA-00361,84230258
CGND-HRA-00362,85508534
CGND-HRA-00363,100597078
CGND-HRA-00365,89817338
CGND-HRA-00366,90150558
CGND-HRA-00367,76257424
CGND-HRA-00368,54890742
CGND-HRA-00369,95297078
CGND-HRA-00370,88236270
CGND-HRA-00372,87403948
CGND-HRA-00373,78956234
CGND-HRA-00374,106071530
CGND-HRA-00375,91035998
CGND-HRA-00376,104527352
CGND-HRA-00389,88166226
CGND-HRA-00390,94686298
CGND-HRA-00391,102819518
CGND-HRA-00392,93681882
CGND-HRA-00393,105745912
CGND-HRA-00394,61774504
CGND-HRA-00395,113064354
CGND-HRA-00396,78058974
CGND-HRA-00397,107121902
CGND-HRA-00398,77293298
CGND-HRA-00399,97808108
CGND-HRA-00400,84377208
CGND-HRA-00401,92997726
CGND-HRA-00402,48800994
CGND-HRA-00403,109038914
CGND-HRA-00404,81556132
CGND-HRA-00405,88068678
CGND-HRA-00406,95616786
CGND-HRA-00407,76524586
CGND-HRA-00408,101835340
CGND-HRA-00409,89293950
CGND-HRA-00410,108183382
CGND-HRA-00411,92079462
CGND-HRA-00412,106545056
CGND-HRA-00751,58585348
CGND-HRA-00752,102811152
CGND-HRA-00753,90827580
CGND-HRA-00754,78312154
CGND-HRA-00755,73492234
CGND-HRA-00756,124632834
CGND-HRA-00757,60453016
CGND-HRA-00758,146284460
CGND-HRA-00759,79145304
CGND-HRA-00760,107574550
CGND-HRA-00773,82471742
CGND-HRA-00774,71818820
CGND-HRA-00775,95117092
CGND-HRA-00776,104434222
CGND-HRA-00777,90528514
CGND-HRA-00783,101541332
CGND-HRA-00784,69727416
CGND-HRA-00785,77154208
CGND-HRA-00786,79837936
CGND-HRA-00787,73273416
CGND-HRA-00788,77979794
CGND-HRA-00789,90728040
CGND-HRA-00790,86223458
CGND-HRA-00791,118149436
CGND-HRA-00792,67350594
CGND-HRA-00793,100817012
CGND-HRA-00794,98662554
CGND-HRA-00795,90664700
CGND-HRA-00796,77416990
