Treatment,Gene,Value
Dox-1,TDP-43,70.8
Dox-1,TDP-43,92
Dox-1,TDP-43,73.1
Dox-2,TDP-43,44.2
Dox-2,TDP-43,53.1
Dox-2,TDP-43,40.5
Dox-3,TDP-43,26.8
Dox-3,TDP-43,26.9
Dox-3,TDP-43,26.6
Dox-4,TDP-43,19.7
Dox-4,TDP-43,15.2
Dox-4,TDP-43,18.1
Dox-5,TDP-43,3.3
Dox-5,TDP-43,3.2
Dox-5,TDP-43,3
NT,TDP-43,114.6
NT,TDP-43,93.4
NT,TDP-43,100
Dox-1,UNC13A,96.5
Dox-1,UNC13A,91.9
Dox-1,UNC13A,96.3
Dox-2,UNC13A,59.8
Dox-2,UNC13A,60.4
Dox-2,UNC13A,57.7
Dox-3,UNC13A,50.6
Dox-3,UNC13A,51.6
Dox-3,UNC13A,48.4
Dox-4,UNC13A,42.6
Dox-4,UNC13A,41.8
Dox-4,UNC13A,41.7
Dox-5,UNC13A,27
Dox-5,UNC13A,25.2
Dox-5,UNC13A,24.2
NT,UNC13A,102.9
NT,UNC13A,99.4
NT,UNC13A,100.8
