name	strand	new_cate
AARS1_acceptor_1	-	Intermediate
AARS1_donor_1	-	Intermediate
ABCD1_acceptor_1	+	Late
ABCD1_donor_1	+	Late
ACAD10_acceptor_1	+	Early
ACOT11_acceptor_1	+	Early
ACSF2_acceptor_1	+	Early
ACSF2_donor_1	+	Early
ACTL6B_acceptor_1	-	Early
ACTL6B_donor_1	-	Early
ACVR1B_donor_1	+	Early
ADCY1_acceptor_1	+	Early
ADCY1_donor_1	+	Early
ADCY1_donor_2	+	Early
ADCY7_acceptor_1	+	Early
AGFG2_acceptor_1	+	Early
AGRN_acceptor_1	+	Early
AGRN_acceptor_2	+	Early
AGRN_donor_1	+	Early
AGRN_donor_2	+	Early
AKT3_acceptor_1	-	Late
AKT3_donor_1	-	Late
ALX1_acceptor_1	+	Early
ANK2_donor_1	+	Early
AP1G2_donor_1	-	Intermediate
ARHGAP22_acceptor_1	-	Intermediate
ARHGAP22_donor_1	-	Early
ARHGAP26_acceptor_1	+	Intermediate
ARHGAP32_acceptor_1	-	Early
ARL15_donor_1	-	Late
ATG4B_acceptor_1	+	Early
ATG4B_donor_1	+	Early
BCL2L13_acceptor_1	+	Late
C4orf36_acceptor_1	-	Early
C4orf36_donor_1	-	Early
CAMK2B_donor_1	-	Intermediate
CAMKK2_donor_1	-	Intermediate
CARD8_donor_1	-	Late
CCDC188_donor_1	-	Early
CDK7_donor_1	+	Late
CDO1_acceptor_1	-	Early
CDO1_donor_1	-	Early
CELF5_acceptor_1	+	Late
CEP290_acceptor_1	-	Late
CEP290_acceptor_2	-	Late
CEP72_acceptor_1	+	Early
CEP72_donor_1	+	Early
CHGB_donor_1	+	Late
CHGB_donor_2	+	Late
CHID1_donor_1	-	Late
CHRNB1_acceptor_1	+	Intermediate
CLDN11_acceptor_1	+	Intermediate
CORO7-PAM16_acceptor_1	-	Early
DENND1B_acceptor_1	-	Late
DENND2B_acceptor_1	-	Early
DENND2B_donor_1	-	Intermediate
DENND2B_donor_2	-	Early
DENND6B_acceptor_1	-	Early
DGKI_donor_1	-	Late
DLG5_acceptor_1	-	Late
DLG5_donor_1	-	Late
DNAAF9_acceptor_1	-	Late
DNAAF9_donor_1	-	Late
DNM1_acceptor_1	+	Early
DNMT3A_acceptor_1	-	Intermediate
DNMT3A_donor_1	-	Intermediate
DOCK1_acceptor_1	+	Early
DOCK1_donor_1	+	Early
DYNC1I1_acceptor_1	+	Intermediate
DYNC1I1_donor_1	+	Late
EHD2_donor_1	+	Early
ELAVL3_acceptor_1	-	Early
ELAVL3_donor_1	-	Early
ENDOV_acceptor_1	+	Late
EPB41L4A_acceptor_1	-	Early
EPB41L4A_donor_1	-	Early
FAM114A2_acceptor_1	-	Early
FAM114A2_acceptor_2	-	Early
FANCL_acceptor_1	-	Late
FEZ1_donor_1	-	Intermediate
FGFR4_acceptor_1	+	Early
FGFR4_donor_1	+	Early
G2E3_acceptor_1	+	Late
GATA4_donor_1	+	Early
GIT2_donor_1	-	Early
GNB1L_acceptor_1	-	Intermediate
GNB1L_donor_1	-	Intermediate
GNG8_donor_1	-	Early
GPSM2_acceptor_1	+	Early
GPSM2_donor_1	+	Early
GPT2_donor_1	+	Early
GPX7_donor_1	+	Late
GRAMD1A_acceptor_1	+	Early
GRIA2_donor_1	+	Early
GSTM2_donor_1	+	Intermediate
HAUS2_acceptor_1	+	Intermediate
HAUS2_donor_1	+	Intermediate
HDGFL2_acceptor_1	+	Early
HDGFL2_donor_1	+	Early
HS6ST3_acceptor_1	+	Early
IFT122_acceptor_1	+	Intermediate
IFT122_donor_1	+	Intermediate
IGFBP7-AS1_acceptor_1	+	Intermediate
IGFBP7-AS1_donor_1	+	Intermediate
IGLON5_donor_1	+	Early
INPP1_acceptor_1	+	Late
INSR_acceptor_1	-	Early
IQCE_acceptor_1	+	Intermediate
IQCE_donor_1	+	Intermediate
IRAK4_acceptor_1	+	Early
ISLR2_donor_1	+	Early
KCTD15_acceptor_1	+	Early
KCTD15_acceptor_2	+	Intermediate
KCTD15_donor_1	+	Late
KCTD15_donor_2	+	Intermediate
KCTD15_donor_3	+	Early
KDM1B_acceptor_1	+	Early
KDM1B_donor_1	+	Early
KIAA0753_acceptor_1	-	Intermediate
KIAA0753_donor_1	-	Intermediate
KIF21A_donor_1	-	Late
KLHL35_donor_1	-	Early
LHFPL2_acceptor_1	-	Intermediate
LINC02245_acceptor_1	-	Early
LINC02245_donor_1	-	Early
LMF1_donor_1	-	Late
LRP8_donor_1	-	Early
MADD_donor_1	+	Early
MADD_donor_2	+	Early
MAPK9_acceptor_1	-	Early
MED13L_acceptor_1	-	Intermediate
MED13L_donor_1	-	Intermediate
MEIS2_donor_1	-	Intermediate
METTL8_donor_1	-	Early
MGAT1_donor_1	-	Intermediate
MGAT5B_acceptor_1	+	Early
MGAT5B_donor_1	+	Early
MTSS2_acceptor_1	-	Intermediate
MTSS2_donor_1	-	Intermediate
MVK_donor_1	+	Late
MYO18A_acceptor_1	-	Intermediate
MYO18A_donor_1	-	Intermediate
MYO9B_donor_1	+	Intermediate
NADSYN1_donor_1	+	Late
NAV1_acceptor_1	+	Early
NAV1_donor_1	+	Early
NFIX_acceptor_1	+	Ambiguous
NFIX_donor_1	+	Ambiguous
NFIX_donor_2	+	Ambiguous
NSMCE4A_donor_1	-	Late
NUP188_acceptor_1	+	Intermediate
NUP188_donor_1	+	Late
NUP188_donor_2	+	Intermediate
NYNRIN_acceptor_1	+	Early
NYNRIN_acceptor_2	+	Early
NYNRIN_donor_1	+	Early
PAOX_acceptor_1	+	Early
PAOX_donor_1	+	Early
PCBP3_acceptor_1	+	Intermediate
PEPD_donor_1	-	Intermediate
PFKP_acceptor_1	+	Early
PFKP_donor_1	+	Early
PHF2_acceptor_1	+	Late
PHF2_donor_1	+	Late
PKN1_acceptor_1	+	Intermediate
PLEKHM1P1_donor_1	-	Late
PLSCR3_acceptor_1	-	Late
PRELID3A_donor_1	+	Early
PRELID3A_donor_2	+	Early
PRKAR1B_acceptor_1	-	Late
PRR16_acceptor_1	+	Intermediate
PRR16_acceptor_2	+	Intermediate
PRR16_donor_1	+	Intermediate
PRUNE2_donor_1	-	Early
PRUNE2_donor_2	-	Early
PSD_acceptor_1	-	Intermediate
PSME3IP1_donor_1	-	Late
PTPRM_donor_1	+	Late
PWWP2A_acceptor_1	-	Late
PXDN_acceptor_1	-	Intermediate
PXDN_donor_1	-	Intermediate
RAB20_acceptor_1	-	Early
RAB20_donor_1	-	Early
RANBP1_acceptor_1	+	Intermediate
RANBP1_donor_1	+	Intermediate
RAP1GAP_acceptor_1	-	Early
RAP1GAP_donor_1	-	Early
RASA3_acceptor_1	-	Late
RELL1_donor_1	-	Late
RNF115_acceptor_1	-	Early
RNF115_donor_1	-	Early
RNFT2_acceptor_1	+	Early
RPGRIP1L_acceptor_1	-	Late
RSF1_acceptor_1	-	Intermediate
RTBDN_donor_1	-	Late
SEMA3F_acceptor_1	+	Early
SEPTIN7P2_acceptor_1	-	Early
SEPTIN7P2_donor_1	-	Early
SETD5_donor_1	+	Early
SIPA1L3_acceptor_1	+	Early
SIPA1L3_donor_1	+	Early
SLC12A2-DT_acceptor_1	-	Late
SLC19A1_acceptor_1	-	Late
SLC36A1_donor_1	+	Late
SLC39A8_donor_1	-	Intermediate
SNCB_acceptor_1	-	Intermediate
SPRY4-AS1_donor_1	+	Intermediate
STMN2_acceptor_1	+	Early
STMN2_acceptor_2	+	Early
STXBP5L_donor_1	+	Early
STXBP5L_donor_2	+	Early
SYT7_acceptor_1	-	Early
SYT7_donor_1	-	Early
SYT7_donor_2	-	Early
TANK_acceptor_1	+	Late
TARBP1_acceptor_1	-	Intermediate
TBXAS1_acceptor_1	+	Late
TENM3_donor_1	+	Late
TKFC_acceptor_1	+	Late
TMEM117_acceptor_1	+	Early
TMEM117_donor_1	+	Early
TMEM117_donor_2	+	Early
TMEM144_acceptor_1	+	Late
TMEM144_donor_1	+	Late
TMEM234_acceptor_1	-	Early
TMEM260_acceptor_1	+	Early
TNFSF12_donor_1	+	Late
TRAPPC12_acceptor_1	+	Intermediate
TRAPPC12_acceptor_2	+	Intermediate
TRAPPC12_donor_1	+	Intermediate
TRIO_donor_1	+	Intermediate
TRRAP_acceptor_1	+	Intermediate
TRRAP_donor_1	+	Intermediate
TSPAN12_donor_1	-	Late
TSPEAR-AS1_donor_1	+	Late
TTC8_donor_1	+	Late
UBR5-DT_donor_1	+	Early
UGGT2_acceptor_1	-	Late
UNC13A_acceptor_1	-	Intermediate
UNC13A_acceptor_2	-	Early
UNC13A_acceptor_3	-	Early
UNC13A_donor_1	-	Intermediate
UNC13A_donor_2	-	Early
UNC13A_donor_3	-	Early
UNC13A_donor_4	-	Intermediate
UPF2_donor_1	-	Early
USP13_donor_1	+	Early
USP6NL_acceptor_1	-	Intermediate
USP6NL_donor_1	-	Intermediate
WDR35_acceptor_1	-	Intermediate
WDR35_donor_1	-	Intermediate
WWOX_donor_1	+	Late
ZFP91_acceptor_1	+	Intermediate
ZFP91_donor_1	+	Intermediate
ZGPAT_acceptor_1	+	Intermediate
ZGPAT_donor_1	+	Intermediate
ZNF157_donor_1	+	Intermediate
ZNF185_acceptor_1	+	Late
ZNF382_acceptor_1	+	Early
ZNF529_donor_1	-	Early
ZNF570_donor_1	+	Early
ZNF608_acceptor_1	-	Early
ZNF681_acceptor_1	-	Early
ZNF700_acceptor_1	+	Late
ZNF826P_acceptor_1	-	Early
