Geneid,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,ensgene,symbol
ENSG00000000003.15,2537.64850257611,-0.567356579881808,0.0626708796178125,-9.05295383345079,1.391521356683e-19,2.88499576326158e-18,ENSG00000000003,TSPAN6
ENSG00000000419.14,2199.05373095386,-0.0905942082407469,0.0420297573995634,-2.1554777815988,0.0311244654584674,0.0607028537752536,ENSG00000000419,DPM1
ENSG00000000457.14,1140.69981441432,0.115221037792137,0.0628144115065098,1.83430895918202,0.0666081450080396,0.117142319972146,ENSG00000000457,SCYL3
ENSG00000000460.17,349.910447791784,-0.552288592259697,0.13361132655382,-4.13354620827922,3.57208437295813e-05,0.00014238473369875,ENSG00000000460,C1orf112
ENSG00000001036.14,1591.80202908866,0.0544920386554897,0.0555676067870195,0.980643972383905,0.326768341969188,0.433803618818774,ENSG00000001036,FUCA2
ENSG00000001084.13,1582.65785221857,-0.00641261723335412,0.0511480490347725,-0.125373642873349,0.900227753392902,0.931822499063142,ENSG00000001084,GCLC
ENSG00000001167.15,4971.81938023172,0.179444811888728,0.0440324262466454,4.0752878545365,4.5957462708295e-05,0.000178518416361492,ENSG00000001167,NFYA
ENSG00000001460.18,1423.27923194171,0.229462187189399,0.150483475716811,1.52483311603737,0.127300727702592,0.201563496264066,ENSG00000001460,STPG1
ENSG00000001461.17,3988.16702506126,0.326316370160782,0.082568700666443,3.95205892216979,7.74816554701748e-05,0.000287926506751635,ENSG00000001461,NIPAL3
ENSG00000001497.18,1545.66378178554,-0.0940017788252022,0.0665204193744476,-1.41312667161733,0.157618482266648,0.240914672895154,ENSG00000001497,LAS1L
ENSG00000001561.7,1352.10461626515,0.10380691098043,0.0687326865526483,1.51029904674126,0.130967134873671,0.206509925019177,ENSG00000001561,ENPP4
ENSG00000001617.12,951.155097299629,0.138839327389794,0.0850830319193153,1.63180982456592,0.102719555023158,0.168196075760584,ENSG00000001617,SEMA3F
ENSG00000001629.10,6193.88448559336,0.0499860969307427,0.0323842402766689,1.54353156052745,0.122701856042023,0.195464196692276,ENSG00000001629,ANKIB1
ENSG00000001630.18,17962.8675250808,0.136897459875885,0.0312628945648038,4.3789118628192,1.19273354042793e-05,5.25438436253032e-05,ENSG00000001630,CYP51A1
ENSG00000001631.17,2313.98136053304,-0.0367384796381103,0.0659834287083116,-0.556783428162206,0.577675407656145,0.672153530449324,ENSG00000001631,KRIT1
ENSG00000002016.18,724.635119453894,-0.180740505466173,0.107592921144794,-1.6798549899295,0.0929855329817712,0.155045817701788,ENSG00000002016,RAD52
ENSG00000002330.14,1045.10766507904,0.197477728533987,0.0560539443051141,3.52299434022112,0.000426700472357958,0.00135039413972428,ENSG00000002330,BAD
