le_id,experiment,mean_ppau_contrast,gene_name,timing
ENSG00000011114.15_3,zanovello_shsy5y_curve_00125,0,,Late
ENSG00000011114.15_3,zanovello_shsy5y_curve_00187,0,,Late
ENSG00000011114.15_3,zanovello_shsy5y_curve_0021,0,,Late
ENSG00000011114.15_3,zanovello_shsy5y_curve_0025,0,,Late
ENSG00000011114.15_3,zanovello_shsy5y_curve_0075,0.103951857574061,BTBD7,Late
ENSG00000064309.16_2,zanovello_shsy5y_curve_00125,0,,Late
ENSG00000064309.16_2,zanovello_shsy5y_curve_00187,0,,Late
ENSG00000064309.16_2,zanovello_shsy5y_curve_0021,0,,Late
ENSG00000064309.16_2,zanovello_shsy5y_curve_0025,0,,Late
ENSG00000064309.16_2,zanovello_shsy5y_curve_0075,0.135722087464736,CDON,Late
ENSG00000069667.16_1,zanovello_shsy5y_curve_00125,0,,Late
ENSG00000069667.16_1,zanovello_shsy5y_curve_00187,0,,Late
ENSG00000069667.16_1,zanovello_shsy5y_curve_0021,0,,Late
ENSG00000069667.16_1,zanovello_shsy5y_curve_0025,0,,Late
ENSG00000069667.16_1,zanovello_shsy5y_curve_0075,0.128781834032921,RORA,Late
ENSG00000072195.15_1,zanovello_shsy5y_curve_00125,0,,Late
ENSG00000072195.15_1,zanovello_shsy5y_curve_00187,0,,Late
ENSG00000072195.15_1,zanovello_shsy5y_curve_0021,0,,Late
ENSG00000072195.15_1,zanovello_shsy5y_curve_0025,0,,Late
ENSG00000072195.15_1,zanovello_shsy5y_curve_0075,0.222384144832554,SPEG,Late
ENSG00000072195.15_1,zanovello_shsy5y_curve_0075,0.222384144832554,SPEG,Late
ENSG00000085063.17_2,zanovello_shsy5y_curve_00125,0,,Late
ENSG00000085063.17_2,zanovello_shsy5y_curve_00187,0,,Late
ENSG00000085063.17_2,zanovello_shsy5y_curve_0021,0,,Late
ENSG00000085063.17_2,zanovello_shsy5y_curve_0025,0,,Late
ENSG00000085063.17_2,zanovello_shsy5y_curve_0075,0.105961452404691,CD59,Late
ENSG00000092140.16_1,zanovello_shsy5y_curve_00125,0,,Late
ENSG00000092140.16_1,zanovello_shsy5y_curve_00187,0,,Late
ENSG00000092140.16_1,zanovello_shsy5y_curve_0021,0,,Late
ENSG00000092140.16_1,zanovello_shsy5y_curve_0025,0,,Late
ENSG00000092140.16_1,zanovello_shsy5y_curve_0075,0.213128748720729,G2E3,Late
ENSG00000100139.14_2,zanovello_shsy5y_curve_00125,0,,Late
ENSG00000100139.14_2,zanovello_shsy5y_curve_00187,0,,Late
ENSG00000100139.14_2,zanovello_shsy5y_curve_0021,0,,Late
ENSG00000100139.14_2,zanovello_shsy5y_curve_0025,0,,Late
ENSG00000100139.14_2,zanovello_shsy5y_curve_0075,0.184634845637727,MICALL1,Late
ENSG00000103264.18_3,zanovello_shsy5y_curve_00125,0,,Late
ENSG00000103264.18_3,zanovello_shsy5y_curve_00187,0,,Late
ENSG00000103264.18_3,zanovello_shsy5y_curve_0021,0,,Late
ENSG00000103264.18_3,zanovello_shsy5y_curve_0025,0,,Late
ENSG00000103264.18_3,zanovello_shsy5y_curve_0075,0.15368784064736,FBXO31,Late
ENSG00000104435.14_1,zanovello_shsy5y_curve_00125,0.331465262398535,,Early
ENSG00000104435.14_1,zanovello_shsy5y_curve_00187,0.923757176268464,,Early
ENSG00000104435.14_1,zanovello_shsy5y_curve_0021,0.955315414547634,,Early
ENSG00000104435.14_1,zanovello_shsy5y_curve_0025,0.978544350212281,,Early
ENSG00000104435.14_1,zanovello_shsy5y_curve_0075,0.993223868376627,STMN2,Early
ENSG00000108370.17_4,zanovello_shsy5y_curve_00125,0,,Late
ENSG00000108370.17_4,zanovello_shsy5y_curve_00187,0,,Late
ENSG00000108370.17_4,zanovello_shsy5y_curve_0021,0,,Late
ENSG00000108370.17_4,zanovello_shsy5y_curve_0025,0,,Late
ENSG00000108370.17_4,zanovello_shsy5y_curve_0075,0.161255736973381,RGS9,Late
ENSG00000108587.16_4,zanovello_shsy5y_curve_00125,0,,Late
ENSG00000108587.16_4,zanovello_shsy5y_curve_00187,0,,Late
ENSG00000108587.16_4,zanovello_shsy5y_curve_0021,0,,Late
ENSG00000108587.16_4,zanovello_shsy5y_curve_0025,0.0358976238583865,,Late
ENSG00000108587.16_4,zanovello_shsy5y_curve_0075,0.104414652796862,GOSR1,Late
ENSG00000112038.18_1,zanovello_shsy5y_curve_00125,0,,Late
ENSG00000112038.18_1,zanovello_shsy5y_curve_00187,0,,Late
ENSG00000112038.18_1,zanovello_shsy5y_curve_0021,0,,Late
ENSG00000112038.18_1,zanovello_shsy5y_curve_0025,0,,Late
ENSG00000112038.18_1,zanovello_shsy5y_curve_0075,0.235168484216708,OPRM1,Late
ENSG00000112200.17_3,zanovello_shsy5y_curve_00125,0,,Late
ENSG00000112200.17_3,zanovello_shsy5y_curve_00187,0,,Late
ENSG00000112200.17_3,zanovello_shsy5y_curve_0021,0,,Late
ENSG00000112200.17_3,zanovello_shsy5y_curve_0025,0,,Late
ENSG00000112200.17_3,zanovello_shsy5y_curve_0075,0.100116766557549,ZNF451,Late
ENSG00000112365.5_2,zanovello_shsy5y_curve_00125,0,,Late
ENSG00000112365.5_2,zanovello_shsy5y_curve_00187,0,,Late
ENSG00000112365.5_2,zanovello_shsy5y_curve_0021,0,,Late
ENSG00000112365.5_2,zanovello_shsy5y_curve_0025,0,,Late
ENSG00000112365.5_2,zanovello_shsy5y_curve_0075,0.186572505622257,ZBTB24,Late
ENSG00000115107.20_2,zanovello_shsy5y_curve_00125,0.0417944253963289,,Late
ENSG00000115107.20_2,zanovello_shsy5y_curve_00187,0.0451921960356366,,Late
ENSG00000115107.20_2,zanovello_shsy5y_curve_0021,0,,Late
ENSG00000115107.20_2,zanovello_shsy5y_curve_0025,0.0589814752240902,,Late
ENSG00000115107.20_2,zanovello_shsy5y_curve_0075,0.120389680981589,STEAP3,Late
ENSG00000115904.15_3,zanovello_shsy5y_curve_00125,0,,Late
ENSG00000115904.15_3,zanovello_shsy5y_curve_00187,0,,Late
ENSG00000115904.15_3,zanovello_shsy5y_curve_0021,0,,Late
ENSG00000115904.15_3,zanovello_shsy5y_curve_0025,0.095578308838203,,Late
ENSG00000115904.15_3,zanovello_shsy5y_curve_0075,0.108277102092456,SOS1,Late
ENSG00000116128.12_2,zanovello_shsy5y_curve_00125,0,,Late
ENSG00000116128.12_2,zanovello_shsy5y_curve_00187,0,,Late
ENSG00000116128.12_2,zanovello_shsy5y_curve_0021,0.0799411649722863,,Late
ENSG00000116128.12_2,zanovello_shsy5y_curve_0025,0,,Late
ENSG00000116128.12_2,zanovello_shsy5y_curve_0075,0.176494790392944,BCL9,Late
ENSG00000116151.14_5,zanovello_shsy5y_curve_00125,0,,Late
ENSG00000116151.14_5,zanovello_shsy5y_curve_00187,0,,Late
ENSG00000116151.14_5,zanovello_shsy5y_curve_0021,0,,Late
ENSG00000116151.14_5,zanovello_shsy5y_curve_0025,0,,Late
ENSG00000116151.14_5,zanovello_shsy5y_curve_0075,0.207904035737654,MORN1,Late
ENSG00000117020.19_2,zanovello_shsy5y_curve_00125,0,,Late
ENSG00000117020.19_2,zanovello_shsy5y_curve_00187,0,,Late
ENSG00000117020.19_2,zanovello_shsy5y_curve_0021,0,,Late
ENSG00000117020.19_2,zanovello_shsy5y_curve_0025,0,,Late
ENSG00000117020.19_2,zanovello_shsy5y_curve_0075,0.194451617636267,AKT3,Late
ENSG00000119392.16_1,zanovello_shsy5y_curve_00125,0,,Late
ENSG00000119392.16_1,zanovello_shsy5y_curve_00187,0,,Late
ENSG00000119392.16_1,zanovello_shsy5y_curve_0021,0,,Late
ENSG00000119392.16_1,zanovello_shsy5y_curve_0025,0,,Late
ENSG00000119392.16_1,zanovello_shsy5y_curve_0075,0.280843335679912,GLE1,Late
ENSG00000119547.6_1,zanovello_shsy5y_curve_00125,0,,Late
ENSG00000119547.6_1,zanovello_shsy5y_curve_00187,0,,Late
ENSG00000119547.6_1,zanovello_shsy5y_curve_0021,0,,Late
ENSG00000119547.6_1,zanovello_shsy5y_curve_0025,0,,Late
ENSG00000119547.6_1,zanovello_shsy5y_curve_0075,0.21554335071982,ONECUT2,Late
ENSG00000125676.20_3,zanovello_shsy5y_curve_00125,0,,Late
ENSG00000125676.20_3,zanovello_shsy5y_curve_00187,0,,Late
ENSG00000125676.20_3,zanovello_shsy5y_curve_0021,0,,Late
ENSG00000125676.20_3,zanovello_shsy5y_curve_0025,0,,Late
ENSG00000125676.20_3,zanovello_shsy5y_curve_0075,0.263112703586535,THOC2,Late
ENSG00000126767.18_2,zanovello_shsy5y_curve_00125,0.16112343195221,,Early
ENSG00000126767.18_2,zanovello_shsy5y_curve_00187,0.71807551683246,,Early
ENSG00000126767.18_2,zanovello_shsy5y_curve_0021,0.922613069639913,,Early
ENSG00000126767.18_2,zanovello_shsy5y_curve_0025,1,,Early
ENSG00000126767.18_2,zanovello_shsy5y_curve_0075,1,ELK1,Early
ENSG00000133619.18_3,zanovello_shsy5y_curve_00125,0,,Late
ENSG00000133619.18_3,zanovello_shsy5y_curve_00187,0,,Late
ENSG00000133619.18_3,zanovello_shsy5y_curve_0021,0,,Late
ENSG00000133619.18_3,zanovello_shsy5y_curve_0025,0,,Late
ENSG00000133619.18_3,zanovello_shsy5y_curve_0075,0.244067083883627,KRBA1,Late
ENSG00000134909.19_1,zanovello_shsy5y_curve_00125,0.223937644577839,,Early
ENSG00000134909.19_1,zanovello_shsy5y_curve_00187,0.661442515833868,,Early
ENSG00000134909.19_1,zanovello_shsy5y_curve_0021,0.655428902725034,,Early
ENSG00000134909.19_1,zanovello_shsy5y_curve_0025,0.766634047956263,,Early
ENSG00000134909.19_1,zanovello_shsy5y_curve_0075,0.786604981788486,ARHGAP32,Early
ENSG00000135387.21_2,zanovello_shsy5y_curve_00125,0.107609889025754,,Early
ENSG00000135387.21_2,zanovello_shsy5y_curve_00187,0.12015032001422,,Early
ENSG00000135387.21_2,zanovello_shsy5y_curve_0021,0.111537053444842,,Early
ENSG00000135387.21_2,zanovello_shsy5y_curve_0025,0.120512586326666,,Early
ENSG00000135387.21_2,zanovello_shsy5y_curve_0075,0.129928308246268,CAPRIN1,Early
ENSG00000136738.15_2,zanovello_shsy5y_curve_00125,0,,Late
ENSG00000136738.15_2,zanovello_shsy5y_curve_00187,0,,Late
ENSG00000136738.15_2,zanovello_shsy5y_curve_0021,0,,Late
ENSG00000136738.15_2,zanovello_shsy5y_curve_0025,0,,Late
ENSG00000136738.15_2,zanovello_shsy5y_curve_0075,0.198622361222162,STAM,Late
ENSG00000138083.5_2,zanovello_shsy5y_curve_00125,0.184619380228771,,Early
ENSG00000138083.5_2,zanovello_shsy5y_curve_00187,0.525364378690225,,Early
ENSG00000138083.5_2,zanovello_shsy5y_curve_0021,0.589018378998181,,Early
ENSG00000138083.5_2,zanovello_shsy5y_curve_0025,0.647386783113876,,Early
ENSG00000138083.5_2,zanovello_shsy5y_curve_0075,0.762503498396351,SIX3,Early
ENSG00000138606.20_7,zanovello_shsy5y_curve_00125,0,,Late
ENSG00000138606.20_7,zanovello_shsy5y_curve_00187,0,,Late
ENSG00000138606.20_7,zanovello_shsy5y_curve_0021,0,,Late
ENSG00000138606.20_7,zanovello_shsy5y_curve_0025,0,,Late
ENSG00000138606.20_7,zanovello_shsy5y_curve_0075,0.10409116219047,SHF,Late
ENSG00000139910.20_7,zanovello_shsy5y_curve_00125,0,,Late
