paste_into_igv_junction,not_path,path,gene,type,strand,n_invitro_observed,fraction_not_path,fraction_path
chr10:100190968-100192459,210,718,CHUK,annotated,-,1,0.279255319148936,0.772043010752688
chr10:100261028-100261979,229,806,CWF19L1,annotated,-,1,0.304521276595745,0.866666666666667
chr10:100488977-100489252,201,564,SEC31B,annotated,-,1,0.267287234042553,0.606451612903226
chr10:100489761-100490706,52,83,SEC31B,annotated,-,1,0.0691489361702128,0.089247311827957
chr10:100527074-100529366,280,930,NDUFB8,annotated,-,1,0.372340425531915,1
chr10:100527074-100529366,280,930,RP11-411B6.6,annotated,-,1,0.372340425531915,1
chr10:100984074-100986749,150,493,MRPL43,annotated,-,2,0.199468085106383,0.530107526881721
chr10:100984074-100987090,2,9,MRPL43,annotated,-,1,0.00265957446808511,0.00967741935483871
chr10:100987613-100989644,39,133,TWNK,annotated,+,1,0.0518617021276596,0.143010752688172
chr10:100989453-100989706,33,53,TWNK,annotated,+,1,0.0438829787234043,0.056989247311828
chr10:100998410-101002497,99,268,LZTS2,annotated,+,1,0.131648936170213,0.288172043010753
chr10:100998981-101002497,122,394,LZTS2,annotated,+,1,0.162234042553192,0.423655913978495
chr10:101002946-101005458,204,726,LZTS2,novel_exon_skip,+,1,0.271276595744681,0.780645161290323
chr10:101430452-101479368,219,773,BTRC,annotated,+,1,0.291223404255319,0.831182795698925
chr10:101580416-101585316,2,0,POLL,novel_exon_skip,-,1,0.00265957446808511,0
chr10:101580416-101587246,5,32,POLL,novel_exon_skip,-,1,0.00664893617021277,0.0344086021505376
chr10:101584919-101585862,47,129,POLL,annotated,-,1,0.0625,0.138709677419355
chr10:101584919-101587246,44,123,POLL,novel_exon_skip,-,2,0.0585106382978723,0.132258064516129
chr10:101585478-101585866,54,112,POLL,novel_donor,-,1,0.0718085106382979,0.120430107526882
chr10:101585478-101587246,25,55,POLL,novel_exon_skip,-,1,0.0332446808510638,0.0591397849462366
chr10:101605212-101608835,107,298,DPCD,novel_combo,+,1,0.142287234042553,0.320430107526882
chr10:101624810-101672915,274,901,FBXW4,novel_exon_skip,-,1,0.36436170212766,0.968817204301075
