ID_exon,paste_into_igv_junction,3_ss_score_cryptic,tdp43_sensitivity_sh,cryptic,alt_site,normal_site,3_ss_score_ann
469,chr1:1044439-1044892,-3.29,Early,yes,1044892,1044439,-22.24
167,chr1:11658393-11658533,10.04,Late,no,11658533,11658393,13.97
311,chr1:15719920-15721329,10.73,Intermediate,no,15721329,15719920,11.09
341,chr1:21598820-21599494,7.06,Early,yes,21598820,21599494,9.46
149,chr1:29058645-29058811,0.14,,no,29058811,29058645,10.02
20,chr1:31728081-31728182,6.31,Late,no,31728081,31728182,13.2
244,chr1:39427614-39427961,7.09,,no,39427961,39427614,9.51
241,chr1:53274820-53275631,7.28,,no,53274820,53275631,6.94
129,chr1:62487412-62488934,8.05,Late,no,62487412,62488934,-12.9
23,chr1:81952142-81952987,6.79,Late,no,81952987,81952142,1.55
183,chr1:108885578-108896317,10.35,Early,yes,108896317,108885578,8.01
355,chr1:145788802-145788908,4.62,Early,yes,145788802,145788908,9.22
388,chr1:155136376-155136828,7.76,Intermediate,no,155136828,155136376,9.4
263,chr1:167773368-167776064,0.46,Intermediate,no,167776064,167773368,12.23
274,chr1:201803714-201804489,8.53,Early,yes,201804489,201803714,6.7
349,chr1:211482314-211483119,12.15,Early,no,211482314,211483119,4.55
349,chr1:211483451-211491768,-0.27,Early,no,211483451,211491768,4.55
30,chr1:243523467-243545510,11.26,Late,yes,243523467,243545510,12.04
337,chr2:1650886-1653628,10.38,Intermediate,yes,1650886,1653628,7.03
450,chr2:3457693-3458462,9.82,Intermediate,yes,3458462,3457693,6.94
45,chr2:9335179-9336036,2.95,Late,no,9336036,9335179,9.3
483,chr2:19978167-19978751,4.17,Intermediate,yes,19978167,19978751,10.4
280,chr2:24762776-24768079,7.7,Intermediate,no,24768079,24762776,7.97
126,chr2:25237276-25239130,11.67,Intermediate,yes,25237276,25239130,9.73
135,chr2:25419535-25427535,5.8,,no,25419535,25427535,8.0
239,chr2:65051337-65055915,3.73,,yes,65051337,65055915,6.42
112,chr2:74363628-74365075,-1.51,Late,no,74363628,74365075,8.98
102,chr2:121427430-121430073,3.75,Intermediate,no,121427430,121430073,8.6
102,chr2:121427430-121430073,3.75,Intermediate,no,121427430,121430073,11.19
5,chr2:203380384-203382189,0.81,Late,no,203382189,203380384,10.19
48,chr2:241651335-241653307,4.2,Early,no,241653307,241651335,6.51
47,chr2:241668685-241668875,10.45,Early,yes,241668875,241668685,8.4
238,chr2:242114741-242116183,6.09,,no,242116183,242114741,10.08
103,chr3:33574496-33576169,4.18,Late,no,33574496,33576169,3.93
89,chr3:48650289-48650480,6.71,Early,no,48650289,48650480,7.69
70,chr3:50373085-50374737,2.37,Intermediate,no,50373085,50374737,12.83
358,chr3:78647655-78651732,8.66,,no,78647655,78651732,5.88
71,chr3:85961647-85979164,7.48,,no,85979164,85961647,12.51
199,chr3:129483682-129483926,10.55,,yes,129483926,129483682,4.12
447,chr3:171139556-171140399,10.2,Early,no,171139556,171140399,7.56
494,chr3:179071447-179071595,6.46,Early,no,179071447,179071595,7.55
143,chr3:184316218-184316713,8.32,Late,no,184316713,184316218,9.52
269,chr4:676209-677922,4.92,Early,no,677922,676209,7.65
202,chr4:57201820-57203508,8.42,Intermediate,yes,57203508,57201820,8.4
330,chr4:86751124-86753009,7.53,,no,86753009,86751124,5.11
65,chr4:86890158-86891456,12.49,,yes,86890158,86891456,6.74
223,chr4:122325320-122325855,2.72,Early,no,122325855,122325320,7.51
439,chr4:158244349-158245324,3.52,,yes,158245324,158244349,10.68
171,chr4:158833628-158833801,12.79,Intermediate,no,158833801,158833628,7.0
94,chr4:174316290-174316530,6.81,Early,no,174316530,174316290,9.8
95,chr5:647916-648100,-7.11,Early,yes,648100,647916,9.19
382,chr5:1056596-1057471,8.54,Early,no,1056596,1057471,10.85
453,chr5:14488260-14489030,9.58,Intermediate,no,14489030,14488260,10.97
451,chr5:65652545-65655636,7.99,Early,no,65655636,65652545,8.37
151,chr5:112267284-112275326,10.87,Early,yes,112267284,112275326,12.48
86,chr5:115813954-115816228,7.74,Early,yes,115813954,115816228,10.83
324,chr5:120464645-120672016,6.24,Intermediate,yes,120672016,120464645,11.27
324,chr5:120618565-120672016,6.24,Intermediate,yes,120672016,120618565,11.27
376,chr5:172356774-172358773,4.67,Late,no,172356774,172358773,11.07
170,chr5:177089693-177089858,1.77,Early,yes,177089858,177089693,12.48
250,chr5:180287067-180291848,11.06,,yes,180287067,180291848,9.27
221,chr6:18213782-18214505,-7.32,,yes,18214505,18213782,-6.73
113,chr6:30884710-30885625,10.2,Early,no,30885625,30884710,9.37
61,chr6:32974765-32975021,9.25,Late,no,32975021,32974765,9.11
444,chr6:44135096-44135328,12.43,,no,44135328,44135096,8.89
133,chr6:56529774-56529974,6.63,,no,56529774,56529974,8.46
365,chr6:116571655-116572858,9.71,Early,no,116572858,116571655,6.62
417,chr6:152130778-152132122,6.03,,no,152130778,152132122,11.12
209,chr7:2559217-2564878,7.8,Intermediate,yes,2564878,2559217,11.88
16,chr7:45622743-45625299,7.01,Early,yes,45625299,45622743,7.63
16,chr7:45622743-45625299,7.01,Early,yes,45625299,45622743,7.63
372,chr7:45735670-45736787,5.33,Early,yes,45735670,45736787,5.14
69,chr7:81983334-81984635,4.77,Late,no,81983334,81984635,8.25
375,chr7:94587812-94588689,6.84,Late,no,94587812,94588689,7.51
457,chr7:98881250-98881695,9.29,Intermediate,yes,98881695,98881250,8.86
12,chr7:100650643-100655019,2.86,Early,yes,100650643,100655019,10.08
420,chr7:106096302-106097690,-0.23,Intermediate,no,106096302,106097690,9.96
166,chr8:431444-432886,6.09,Early,no,432886,431444,9.86
432,chr8:73027052-73030336,7.5,Late,no,73030336,73027052,12.9
304,chr9:93660560-93661348,12.55,Late,yes,93661348,93660560,-14.03
124,chr9:128250940-128253047,11.09,Early,yes,128253047,128250940,7.06
292,chr9:128952846-128956141,7.31,Intermediate,yes,128956141,128952846,7.69
68,chr9:138059737-138069758,2.71,,no,138069758,138059737,9.72
302,chr10:3099352-3099557,2.02,Early,yes,3099557,3099352,8.53
475,chr10:11487871-11489102,4.02,Intermediate,yes,11487871,11489102,10.88
4,chr10:26755741-26759062,6.07,Early,no,26755741,26759062,4.38
41,chr10:48583510-48604763,1.63,,no,48583510,48604763,10.79
41,chr10:48583510-48604763,1.63,,no,48583510,48604763,8.78
296,chr10:49749816-49750839,8.81,Intermediate,no,49749816,49750839,9.72
327,chr10:71823896-71825837,8.33,Late,no,71823896,71825837,8.85
120,chr10:77793235-77794008,7.85,Late,yes,77793235,77794008,5.99
479,chr10:112527164-112533530,7.86,,no,112533530,112527164,12.57
379,chr10:116889279-116901765,2.89,Late,no,116889279,116901765,9.51
309,chr10:122427031-122428276,8.49,Early,no,122428276,122427031,8.98
127,chr10:127381368-127381953,8.84,Early,yes,127381953,127381368,6.33
299,chr10:133389747-133390907,8.04,Early,yes,133390907,133389747,10.09
116,chr11:8780251-8811247,7.25,,yes,8780251,8811247,8.33
491,chr11:58616815-58616993,8.64,Intermediate,yes,58616993,58616815,12.09
421,chr11:61547620-61551384,9.67,Early,yes,61547620,61551384,9.89
278,chr11:113235164-113246368,-0.59,,no,113246368,113235164,6.24
504,chr12:6678710-6678946,5.21,Late,no,6678710,6678946,11.02
161,chr12:8188535-8193520,3.45,Early,no,8193520,8188535,7.32
318,chr12:27676599-27677064,1.88,Early,no,27677064,27676599,2.16
438,chr12:43836196-43836744,4.43,Early,yes,43836744,43836196,10.35
438,chr12:43836196-43836744,4.43,Early,yes,43836744,43836196,10.35
478,chr12:110499546-110502049,3.4,,no,110499546,110502049,3.29
252,chr12:116054357-116096669,4.31,Intermediate,yes,116054357,116096669,9.19
368,chr12:124782811-124786357,6.64,,no,124782811,124786357,11.12
338,chr13:110542022-110561348,6.07,Early,yes,110542022,110561348,12.25
81,chr14:23052083-23052473,8.07,Early,no,23052083,23052473,-13.08
293,chr14:24411450-24412644,10.85,Early,yes,24412644,24411450,13.41
293,chr14:24411451-24412593,-11.82,Early,yes,24412593,24411451,13.41
384,chr14:100295993-100298842,6.61,Early,no,100295993,100298842,10.6
190,chr15:42563857-42565446,10.35,Intermediate,yes,42565446,42563857,8.57
227,chr15:69423329-69425282,8.16,Intermediate,no,69425282,69423329,13.07
