dox0_sh,paste_into_igv_junction,dox0125,dox0187,dox021,dox025,dox075,timing_shsy5y,max_psi_sh,dox0_be2,dox002,dox003,dox004,dox005,dox0075,dox01,dox1,timing_be2,max_psi_be2,junction_for_clustering,gene,strand,junction_cat,cryptic,ID_exon,UMAP_1_together,UMAP_2_together,cluster_together,UMAP_1_sh,UMAP_2_sh,cluster_sh,UMAP_1_be2,UMAP_2_be2,cluster_be2,last_exon
0,chr16:70271972-70272796,0,0,0,0.156,0.19,Intermediate,Bottom,0,0,0,0,0,0,0,0.225,Late,Bottom,yes,AARS1,-,novel_donor,yes,1,1.55480086,1.733335864,5,-0.300551227,-2.414395139,5,3.726977451,-5.229525344,5,FALSE
0,chr16:70272882-70276486,0,0,0,0,0.193,Intermediate,Bottom,NA,NA,NA,NA,NA,NA,NA,NA,Late,NA,no,AARS1,-,acceptor,yes,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
0.336,chr9:137023840-137024143,0.336,0.467,0.467,0.467,0.68,Intermediate,Medium,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,ABCA2,-,acceptor,no,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
0.003,chrX:153740237-153740305,0.003,0.003,0.003,0.003,0.408,Late,Top,0.008,0.008,0.008,0.008,0.349,0.433,0.478,0.478,Intermediate,Top,yes,ABCD1,+,novel_acceptor,yes,3,-1.642151819,3.170706401,4,-2.97130761,-2.367714869,1,-2.072804671,-0.86892472,2,FALSE
0.003,chrX:153740439-153740574,0.003,0.003,0.003,0.003,0.231,Late,Bottom,0.008,0.008,0.008,0.008,0.248,0.255,0.316,0.353,Intermediate,Medium,no,ABCD1,+,novel_donor,yes,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
0.68,chr10:26755741-26759062,0.68,0.853,0.89,0.893,0.991,Early,Medium,0.628,0.628,0.844,0.901,0.881,0.889,0.912,0.921,Early,Medium,yes,ABI1,-,annotated,no,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
0.76,chr10:26751783-26755655,0.76,0.868,0.914,0.907,0.992,Early,Bottom,0.617,0.617,0.854,0.902,0.877,0.883,0.897,0.913,Early,Medium,no,ABI1,-,annotated,no,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
0.187,chr2:203380384-203382189,0.187,0.187,0.187,0.187,0.427,Late,Bottom,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,ABI2,+,acceptor,no,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
0.19,chr2:203382206-203391046,0.19,0.19,0.19,0.19,0.402,Late,Bottom,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,ABI2,+,donor,no,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
0.509,chr17:1073677-1079330,0.509,0.666,0.654,0.649,0.726,Early,Bottom,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,ABR,-,skip,no,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
