cryptic_name,junc_cat,name,paste_into_igv_junction,new_cate
AARS1_acceptor_1,acceptor,AARS1_acceptor_30,chr16:70272882-70276486,Intermediate
AARS1_acceptor_1,acceptor,AARS1_acceptor_26,chr16:70272882-70276486,Intermediate
AARS1_acceptor_1,acceptor,AARS1_acceptor_11,chr16:70272882-70276486,Intermediate
AARS1_acceptor_1,acceptor,AARS1_acceptor_14,chr16:70272882-70276486,Intermediate
AARS1_acceptor_1,acceptor,AARS1_acceptor_31,chr16:70272882-70276486,Intermediate
AARS1_donor_1,donor,AARS1_donor_19,chr16:70271972-70272796,Intermediate
AARS1_donor_1,donor,AARS1_donor_32,chr16:70271972-70272796,Intermediate
AARS1_donor_1,donor,AARS1_donor_29,chr16:70271972-70272796,Intermediate
AARS1_donor_1,donor,AARS1_donor_24,chr16:70271972-70272796,Intermediate
AARS1_donor_1,donor,AARS1_donor_8,chr16:70271972-70272796,Intermediate
ABCD1_acceptor_1,acceptor,ABCD1_acceptor_3,chrX:153740237-153740305,Late
ABCD1_acceptor_1,acceptor,ABCD1_acceptor_5,chrX:153740237-153740305,Late
ABCD1_acceptor_1,acceptor,ABCD1_acceptor_9,chrX:153740237-153740305,Late
ABCD1_acceptor_1,acceptor,ABCD1_acceptor_1,chrX:153740237-153740305,Late
ABCD1_acceptor_1,acceptor,ABCD1_acceptor_7,chrX:153740237-153740305,Late
ABCD1_donor_1,donor,ABCD1_donor_2,chrX:153740439-153740574,Late
ABCD1_donor_1,donor,ABCD1_donor_9,chrX:153740439-153740574,Late
ABCD1_donor_1,donor,ABCD1_donor_4,chrX:153740439-153740574,Late
ABCD1_donor_1,donor,ABCD1_donor_5,chrX:153740439-153740574,Late
ABCD1_donor_1,donor,ABCD1_donor_7,chrX:153740439-153740574,Late
ACAD10_acceptor_1,acceptor,ACAD10_acceptor_18,chr12:111690553-111691059,Early
ACAD10_acceptor_1,acceptor,ACAD10_acceptor_16,chr12:111690553-111691059,Early
ACAD10_acceptor_1,acceptor,ACAD10_acceptor_27,chr12:111690553-111691059,Early
ACAD10_acceptor_1,acceptor,ACAD10_acceptor_11,chr12:111690553-111691059,Early
ACAD10_acceptor_1,acceptor,ACAD10_acceptor_3,chr12:111690553-111691059,Early
ACOT11_acceptor_1,acceptor,ACOT11_acceptor_9,chr1:54599415-54600963,Early
ACOT11_acceptor_1,acceptor,ACOT11_acceptor_10,chr1:54599415-54600963,Early
ACOT11_acceptor_1,acceptor,ACOT11_acceptor_3,chr1:54599415-54600963,Early
ACOT11_acceptor_1,acceptor,ACOT11_acceptor_14,chr1:54599415-54600963,Early
ACOT11_acceptor_1,acceptor,ACOT11_acceptor_18,chr1:54599415-54600963,Early
ACSF2_acceptor_1,acceptor,ACSF2_acceptor_16,chr17:50461686-50461820,Early
ACSF2_acceptor_1,acceptor,ACSF2_acceptor_4,chr17:50461686-50461820,Early
ACSF2_acceptor_1,acceptor,ACSF2_acceptor_7,chr17:50461686-50461820,Early
ACSF2_acceptor_1,acceptor,ACSF2_acceptor_10,chr17:50461686-50461820,Early
ACSF2_acceptor_1,acceptor,ACSF2_acceptor_13,chr17:50461686-50461820,Early
ACSF2_donor_1,donor,ACSF2_donor_17,chr17:50461885-50462184,Early
ACSF2_donor_1,donor,ACSF2_donor_7,chr17:50461885-50462184,Early
ACSF2_donor_1,donor,ACSF2_donor_15,chr17:50461885-50462184,Early
ACSF2_donor_1,donor,ACSF2_donor_5,chr17:50461885-50462184,Early
ACSF2_donor_1,donor,ACSF2_donor_19,chr17:50461885-50462184,Early
ACTL6B_acceptor_1,acceptor,ACTL6B_acceptor_11,chr7:100650643-100655019,Early
ACTL6B_acceptor_1,acceptor,ACTL6B_acceptor_6,chr7:100650643-100655019,Early
ACTL6B_acceptor_1,acceptor,ACTL6B_acceptor_10,chr7:100650643-100655019,Early
ACTL6B_acceptor_1,acceptor,ACTL6B_acceptor_1,chr7:100650643-100655019,Early
ACTL6B_acceptor_1,acceptor,ACTL6B_acceptor_5,chr7:100650643-100655019,Early
ACTL6B_donor_1,donor,ACTL6B_donor_11,chr7:100650135-100650575,Early
ACTL6B_donor_1,donor,ACTL6B_donor_8,chr7:100650135-100650575,Early
ACTL6B_donor_1,donor,ACTL6B_donor_9,chr7:100650135-100650575,Early
ACTL6B_donor_1,donor,ACTL6B_donor_10,chr7:100650135-100650575,Early
ACTL6B_donor_1,donor,ACTL6B_donor_3,chr7:100650135-100650575,Early
ACVR1B_donor_1,donor,ACVR1B_donor_2,chr12:51960187-51975265,Early
ACVR1B_donor_1,donor,ACVR1B_donor_1,chr12:51960187-51975265,Early
ACVR1B_donor_1,donor,ACVR1B_donor_7,chr12:51960187-51975265,Early
ACVR1B_donor_1,donor,ACVR1B_donor_6,chr12:51960187-51975265,Early
ACVR1B_donor_1,donor,ACVR1B_donor_15,chr12:51960187-51975265,Early
ADCY1_acceptor_1,acceptor,ADCY1_acceptor_5,chr7:45622743-45625299,Early
ADCY1_acceptor_1,acceptor,ADCY1_acceptor_7,chr7:45622743-45625299,Early
ADCY1_acceptor_1,acceptor,ADCY1_acceptor_18,chr7:45622743-45625299,Early
ADCY1_acceptor_1,acceptor,ADCY1_acceptor_9,chr7:45622743-45625299,Early
ADCY1_acceptor_1,acceptor,ADCY1_acceptor_8,chr7:45622743-45625299,Early
ADCY1_donor_2,donor,ADCY1_donor_17,chr7:45625430-45648670,Early
ADCY1_donor_2,donor,ADCY1_donor_8,chr7:45625430-45648670,Early
ADCY1_donor_1,donor,ADCY1_donor_4,chr7:45625377-45648670,Early
ADCY1_donor_1,donor,ADCY1_donor_8,chr7:45625377-45648670,Early
ADCY1_donor_1,donor,ADCY1_donor_9,chr7:45625377-45648670,Early
ADCY7_acceptor_1,acceptor,ADCY7_acceptor_2,chr16:50246203-50246881,Early
ADCY7_acceptor_1,acceptor,ADCY7_acceptor_5,chr16:50246203-50246881,Early
ADCY7_acceptor_1,acceptor,ADCY7_acceptor_1,chr16:50246203-50246881,Early
ADCY7_acceptor_1,acceptor,ADCY7_acceptor_3,chr16:50246203-50246881,Early
ADCY7_acceptor_1,acceptor,ADCY7_acceptor_6,chr16:50246203-50246881,Early
AGFG2_acceptor_1,acceptor,AGFG2_acceptor_10,chr7:100555735-100556594,Early
AGFG2_acceptor_1,acceptor,AGFG2_acceptor_8,chr7:100555735-100556594,Early
AGFG2_acceptor_1,acceptor,AGFG2_acceptor_2,chr7:100555735-100556594,Early
AGFG2_acceptor_1,acceptor,AGFG2_acceptor_7,chr7:100555735-100556594,Early
AGFG2_acceptor_1,acceptor,AGFG2_acceptor_4,chr7:100555735-100556594,Early
AGRN_acceptor_2,acceptor,AGRN_acceptor_37,chr1:1044439-1044892,Early
AGRN_acceptor_1,acceptor,AGRN_acceptor_4,chr1:1044440-1044887,Early
AGRN_acceptor_2,acceptor,AGRN_acceptor_15,chr1:1044439-1044892,Early
AGRN_acceptor_2,acceptor,AGRN_acceptor_35,chr1:1044439-1044892,Early
AGRN_acceptor_2,acceptor,AGRN_acceptor_36,chr1:1044439-1044892,Early
AGRN_donor_1,donor,AGRN_donor_6,chr1:1044987-1045161,Early
AGRN_donor_1,donor,AGRN_donor_29,chr1:1044987-1045161,Early
AGRN_donor_2,donor,AGRN_donor_16,chr1:1044988-1045160,Early
AGRN_donor_1,donor,AGRN_donor_10,chr1:1044987-1045161,Early
AGRN_donor_2,donor,AGRN_donor_28,chr1:1044988-1045160,Early
AKT3_acceptor_1,acceptor,AKT3_acceptor_11,chr1:243523467-243545510,Late
AKT3_acceptor_1,acceptor,AKT3_acceptor_22,chr1:243523467-243545510,Late
AKT3_acceptor_1,acceptor,AKT3_acceptor_4,chr1:243523467-243545510,Late
AKT3_acceptor_1,acceptor,AKT3_acceptor_1,chr1:243523467-243545510,Late
AKT3_acceptor_1,acceptor,AKT3_acceptor_12,chr1:243523467-243545510,Late
AKT3_donor_1,donor,AKT3_donor_26,chr1:243512426-243523309,Late
AKT3_donor_1,donor,AKT3_donor_15,chr1:243512426-243523309,Late
AKT3_donor_1,donor,AKT3_donor_19,chr1:243512426-243523309,Late
AKT3_donor_1,donor,AKT3_donor_11,chr1:243512426-243523309,Late
AKT3_donor_1,donor,AKT3_donor_21,chr1:243512426-243523309,Late
ALX1_acceptor_1,acceptor,ALX1_acceptor_1,chr12:85286981-85295668,Early
ALX1_acceptor_1,acceptor,ALX1_acceptor_2,chr12:85286981-85295668,Early
ALX1_acceptor_1,acceptor,ALX1_acceptor_3,chr12:85286981-85295668,Early
ANK2_donor_1,donor,ANK2_donor_45,chr4:113149205-113151080,Early
ANK2_donor_1,donor,ANK2_donor_11,chr4:113149205-113151080,Early
ANK2_donor_1,donor,ANK2_donor_29,chr4:113149205-113151080,Early
ANK2_donor_1,donor,ANK2_donor_82,chr4:113149205-113151080,Early
ANK2_donor_1,donor,ANK2_donor_39,chr4:113149205-113151080,Early
AP1G2_donor_1,donor,AP1G2_donor_32,chr14:23567319-23567597,Intermediate
AP1G2_donor_1,donor,AP1G2_donor_6,chr14:23567319-23567597,Intermediate
AP1G2_donor_1,donor,AP1G2_donor_10,chr14:23567319-23567597,Intermediate
AP1G2_donor_1,donor,AP1G2_donor_18,chr14:23567319-23567597,Intermediate
AP1G2_donor_1,donor,AP1G2_donor_3,chr14:23567319-23567597,Intermediate
ARHGAP22_acceptor_1,acceptor,ARHGAP22_acceptor_8,chr10:48451628-48453300,Intermediate
ARHGAP22_acceptor_1,acceptor,ARHGAP22_acceptor_2,chr10:48451628-48453300,Intermediate
ARHGAP22_acceptor_1,acceptor,ARHGAP22_acceptor_9,chr10:48451628-48453300,Intermediate
ARHGAP22_acceptor_1,acceptor,ARHGAP22_acceptor_3,chr10:48451628-48453300,Intermediate
ARHGAP22_acceptor_1,acceptor,ARHGAP22_acceptor_15,chr10:48451628-48453300,Intermediate
ARHGAP22_donor_1,donor,ARHGAP22_donor_13,chr10:48583152-48583378,Early
ARHGAP22_donor_1,donor,ARHGAP22_donor_4,chr10:48583152-48583378,Early
ARHGAP22_donor_1,donor,ARHGAP22_donor_6,chr10:48583152-48583378,Early
ARHGAP22_donor_1,donor,ARHGAP22_donor_2,chr10:48583152-48583378,Early
ARHGAP22_donor_1,donor,ARHGAP22_donor_11,chr10:48583152-48583378,Early
ARHGAP26_acceptor_1,acceptor,ARHGAP26_acceptor_25,chr5:143214088-143216187,Intermediate
ARHGAP26_acceptor_1,acceptor,ARHGAP26_acceptor_7,chr5:143214088-143216187,Intermediate
ARHGAP26_acceptor_1,acceptor,ARHGAP26_acceptor_8,chr5:143214088-143216187,Intermediate
ARHGAP26_acceptor_1,acceptor,ARHGAP26_acceptor_19,chr5:143214088-143216187,Intermediate
ARHGAP26_acceptor_1,acceptor,ARHGAP26_acceptor_27,chr5:143214088-143216187,Intermediate
ARHGAP32_acceptor_1,acceptor,ARHGAP32_acceptor_22,chr11:128992046-128998319,Early
ARHGAP32_acceptor_1,acceptor,ARHGAP32_acceptor_25,chr11:128992046-128998319,Early
ARHGAP32_acceptor_1,acceptor,ARHGAP32_acceptor_8,chr11:128992046-128998319,Early
ARHGAP32_acceptor_1,acceptor,ARHGAP32_acceptor_5,chr11:128992046-128998319,Early
ARHGAP32_acceptor_1,acceptor,ARHGAP32_acceptor_2,chr11:128992046-128998319,Early
ARL15_donor_1,donor,ARL15_donor_7,chr5:54171928-54242070,Late
ARL15_donor_1,donor,ARL15_donor_4,chr5:54171928-54242070,Late
ARL15_donor_1,donor,ARL15_donor_3,chr5:54171928-54242070,Late
ARL15_donor_1,donor,ARL15_donor_10,chr5:54171928-54242070,Late
ARL15_donor_1,donor,ARL15_donor_9,chr5:54171928-54242070,Late
ATG4B_acceptor_1,acceptor,ATG4B_acceptor_1,chr2:241668685-241668875,Early
ATG4B_acceptor_1,acceptor,ATG4B_acceptor_3,chr2:241668685-241668875,Early
ATG4B_acceptor_1,acceptor,ATG4B_acceptor_2,chr2:241668685-241668875,Early
ATG4B_acceptor_1,acceptor,ATG4B_acceptor_19,chr2:241668685-241668875,Early
ATG4B_acceptor_1,acceptor,ATG4B_acceptor_16,chr2:241668685-241668875,Early
ATG4B_donor_1,donor,ATG4B_donor_4,chr2:241668985-241670726,Early
ATG4B_donor_1,donor,ATG4B_donor_13,chr2:241668985-241670726,Early
ATG4B_donor_1,donor,ATG4B_donor_16,chr2:241668985-241670726,Early
ATG4B_donor_1,donor,ATG4B_donor_15,chr2:241668985-241670726,Early
ATG4B_donor_1,donor,ATG4B_donor_7,chr2:241668985-241670726,Early
BCL2L13_acceptor_1,acceptor,BCL2L13_acceptor_2,chr22:17702386-17722274,Late
BCL2L13_acceptor_1,acceptor,BCL2L13_acceptor_10,chr22:17702386-17722274,Late
BCL2L13_acceptor_1,acceptor,BCL2L13_acceptor_14,chr22:17702386-17722274,Late
BCL2L13_acceptor_1,acceptor,BCL2L13_acceptor_4,chr22:17702386-17722274,Late
BCL2L13_acceptor_1,acceptor,BCL2L13_acceptor_12,chr22:17702386-17722274,Late
C4orf36_acceptor_1,acceptor,C4orf36_acceptor_14,chr4:86890158-86891456,Early
C4orf36_acceptor_1,acceptor,C4orf36_acceptor_6,chr4:86890158-86891456,Early
C4orf36_acceptor_1,acceptor,C4orf36_acceptor_2,chr4:86890158-86891456,Early
C4orf36_acceptor_1,acceptor,C4orf36_acceptor_11,chr4:86890158-86891456,Early
C4orf36_acceptor_1,acceptor,C4orf36_acceptor_12,chr4:86890158-86891456,Early
C4orf36_donor_1,donor,C4orf36_donor_20,chr4:86888275-86890048,Early
C4orf36_donor_1,donor,C4orf36_donor_9,chr4:86888275-86890048,Early
