"","gene_name.x","gene_id.x","lsv_id.x","num_junctions.x","num_exons.x","de_novo_junctions.x","seqid.x","strand.x","lsv_junc.x","junc_start.x","junc_end.x","ir_start.x","ir_end.x","paste_into_igv_junction","exon_type.x","color_gene_name.x","Control_Control","Cycloheximide_Control","Control_TDP43KD","Cycloheximide_TDP43KD","gene_name.y","gene_id.y","lsv_id.y","num_junctions.y","num_exons.y","de_novo_junctions.y","seqid.y","strand.y","lsv_junc.y","junc_start.y","junc_end.y","ir_start.y","ir_end.y","exon_type.y","color_gene_name.y","ctrl_ctrl","ctrl_UPF1","TDP43_ctrl","TDP43_UPF1"
"1","MAD1L1","ENSG00000002822.16","ENSG00000002822.16:t:1898200-1898390",2,"3",1,"chr7","-","ENSG00000002822.16:t:1898200-1898390_1898390-1957629",1898390,1957629,NA,NA,"chr7:1898390-1957629","target","Delta PSI > 0.05",0.0082,0.0475,0.0059,0.123,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","KLHL13","ENSG00000003096.14","ENSG00000003096.14:s:117972731-117973738",4,"4",1,"chrX","-","ENSG00000003096.14:s:117972731-117973738_117971689-117972731",117971689,117972731,NA,NA,"chrX:117971689-117972731","source","Delta PSI < 0.05",0.0478,0.0422,0.148,0.1364,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","STPG1","ENSG00000001460.18","ENSG00000001460.18:s:24373702-24373810",2,"3",1,"chr1","-","ENSG00000001460.18:s:24373702-24373810_24361041-24373702",24361041,24373702,NA,NA,"chr1:24361041-24373702","source","Delta PSI > 0.05",0.0156,0.0287,0.0055,0.1272,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","MCUB","ENSG00000005059.16","ENSG00000005059.16:t:109685251-109685367",3,"3",1,"chr4","+","ENSG00000005059.16:t:109685251-109685367_109684549-109685251",109684549,109685251,NA,NA,"chr4:109684549-109685251","target","Delta PSI > 0.05",0.0376,0.016,0.1133,0.214,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","COPZ2","ENSG00000005243.10","ENSG00000005243.10:t:48032686-48032741",2,"3",0,"chr17","-","ENSG00000005243.10:t:48032686-48032741_48032741-48033863",48032741,48033863,NA,NA,"chr17:48032741-48033863","target","Delta PSI > 0.05",0.0278,0.0396,0.0347,0.1516,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","MTMR7","ENSG00000003987.14","ENSG00000003987.14:t:17301651-17302423",2,"3",1,"chr8","-","ENSG00000003987.14:t:17301651-17302423_17302423-17307737",17302423,17307737,NA,NA,"chr8:17302423-17307737","target","Delta PSI > 0.05",0.0121,0.0064,0.0049,0.175,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","ARHGAP33","ENSG00000004777.18","ENSG00000004777.18:s:35785409-35785483",3,"3",0,"chr19","+","ENSG00000004777.18:s:35785409-35785483_35785483-35786896",35785483,35786896,35785484,35786412,"chr19:35785483-35786896","source","Delta PSI > 0.05",0.0078,0.0454,0.0219,0.119,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","FAM214B","ENSG00000005238.20","ENSG00000005238.20:t:35108594-35108737",8,"5",1,"chr9","-","ENSG00000005238.20:t:35108594-35108737_35108737-35111567",35108737,35111567,NA,NA,"chr9:35108737-35111567","target","Delta PSI > 0.05",0.0031,0.0249,0.0173,0.1392,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","CROT","ENSG00000005469.12","ENSG00000005469.12:s:87349048-87349183",2,"3",0,"chr7","+","ENSG00000005469.12:s:87349048-87349183_87349183-87357507",87349183,87357507,NA,NA,"chr7:87349183-87357507","source","Delta PSI < 0.05",0.0417,0.0128,0.1602,0.1895,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","ZNF195","ENSG00000005801.18","ENSG00000005801.18:s:3370943-3371147",13,"11",0,"chr11","-","ENSG00000005801.18:s:3370943-3371147_3363391-3370975",3363391,3370975,NA,NA,"chr11:3363391-3370975","source","Delta PSI < 0.05",0.0351,0.008,0.1247,0.1607,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","ITGA3","ENSG00000005884.18","ENSG00000005884.18:s:50080262-50080375",2,"3",0,"chr17","+","ENSG00000005884.18:s:50080262-50080375_50080375-50081097",50080375,50081097,NA,NA,"chr17:50080375-50081097","source","Delta PSI > 0.05",0.0058,0.0455,0.2175,0.2699,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","ITGA3","ENSG00000005884.18","ENSG00000005884.18:t:50081310-50081408",2,"3",0,"chr17","+","ENSG00000005884.18:t:50081310-50081408_50081193-50081310",50081193,50081310,NA,NA,"chr17:50081193-50081310","target","Delta PSI > 0.05",0.0058,0.015,0.0868,0.1621,"ITGA3","ENSG00000005884.18","ENSG00000005884.18:t:50081310-50081408",2,"3",0,"chr17","+","ENSG00000005884.18:t:50081310-50081408_50081193-50081310",50081193,50081310,NA,NA,"target","Delta PSI < 0.05",0.011,0.023,0.1661,0.1172
"13","TMEM132A","ENSG00000006118.15","ENSG00000006118.15:t:60926579-60926721",3,"3",0,"chr11","+","ENSG00000006118.15:t:60926579-60926721_60926084-60926579",60926084,60926579,60926085,60926578,"chr11:60926084-60926579","target","Delta PSI > 0.05",0.0047,0.0045,0.0249,0.1303,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","KIAA0100","ENSG00000007202.15","ENSG00000007202.15:t:28640397-28640683",5,"3",1,"chr17","-","ENSG00000007202.15:t:28640397-28640683_28640683-28642275",28640683,28642275,NA,NA,"chr17:28640683-28642275","target","Delta PSI > 0.05",0.0043,0.0346,0.0295,0.105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","CRAMP1","ENSG00000007545.16","ENSG00000007545.16:t:1614639-1614985",4,"4",1,"chr16","+","ENSG00000007545.16:t:1614639-1614985_1613491-1614639",1613491,1614639,NA,NA,"chr16:1613491-1614639","target","Delta PSI > 0.05",0.0089,0.025,0.0047,0.1208,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","CELSR3","ENSG00000008300.17","ENSG00000008300.17:s:48650268-48650289",5,"3",1,"chr3","-","ENSG00000008300.17:s:48650268-48650289_48649717-48650275",48649717,48650275,48649718,48650267,"chr3:48649717-48650275","source","Delta PSI > 0.05",0.0034,0.0035,0.0512,0.5199,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","CELSR3","ENSG00000008300.17","ENSG00000008300.17:t:48649121-48649215",5,"4",1,"chr3","-","ENSG00000008300.17:t:48649121-48649215_48649215-48649534",48649215,48649534,48649216,48649533,"chr3:48649215-48649534","target","Delta PSI > 0.05",0.0021,6e-04,0.0422,0.425,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","MPND","ENSG00000008382.16","ENSG00000008382.16:s:4345745-4345981",2,"2",1,"chr19","+","ENSG00000008382.16:s:4345745-4345981_4345982-4352896",4345982,4352896,4345982,4352896,"chr19:4345982-4352896","source","Delta PSI > 0.05",0.0044,0.0467,0.0101,0.1518,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","NFIX","ENSG00000008441.18","ENSG00000008441.18:s:13024939-13025552",3,"3",1,"chr19","+","ENSG00000008441.18:s:13024939-13025552_13025552-13067345",13025552,13067345,NA,NA,"chr19:13025552-13067345","source","Delta PSI > 0.05",0.0046,0.0023,0.0792,0.3369,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","NFIX","ENSG00000008441.18","ENSG00000008441.18:t:13073047-13073109",6,"6",1,"chr19","+","ENSG00000008441.18:t:13073047-13073109_13067434-13073047",13067434,13073047,NA,NA,"chr19:13067434-13073047","target","Delta PSI > 0.05",0.0023,0.0012,0.1139,0.3159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","TTC19","ENSG00000011295.16","ENSG00000011295.16:s:16006474-16006568",3,"4",1,"chr17","+","ENSG00000011295.16:s:16006474-16006568_16006568-16008978",16006568,16008978,NA,NA,"chr17:16006568-16008978","source","Delta PSI > 0.05",0.0123,0.0455,0.0245,0.1657,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","RABGAP1","ENSG00000011454.18","ENSG00000011454.18:s:123076634-123076999",3,"4",1,"chr9","+","ENSG00000011454.18:s:123076634-123076999_123076762-123084643",123076762,123084643,NA,NA,"chr9:123076762-123084643","source","Delta PSI > 0.05",0.003,0.0431,0.0185,0.1103,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","XYLT2","ENSG00000015532.10","ENSG00000015532.10:t:50354264-50354583",2,"3",1,"chr17","+","ENSG00000015532.10:t:50354264-50354583_50353320-50354264",50353320,50354264,NA,NA,"chr17:50353320-50354264","target","Delta PSI > 0.05",0.0192,0.031,0.0031,0.131,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","MVP","ENSG00000013364.19","ENSG00000013364.19:t:29835704-29835798",4,"4",0,"chr16","+","ENSG00000013364.19:t:29835704-29835798_29834437-29835704",29834437,29835704,NA,NA,"chr16:29834437-29835704","target","Delta PSI > 0.05",0.0289,0.0168,0.1523,0.2466,"MVP","ENSG00000013364.19","ENSG00000013364.19:t:29835704-29835798",4,"4",0,"chr16","+","ENSG00000013364.19:t:29835704-29835798_29834437-29835704",29834437,29835704,NA,NA,"target","Delta PSI < 0.05",0.0254,0.0487,0.1257,0.0987
"25","SERPINB1","ENSG00000021355.13","ENSG00000021355.13:s:2841597-2841959",4,"3",0,"chr6","-","ENSG00000021355.13:s:2841597-2841959_2840594-2841597",2840594,2841597,NA,NA,"chr6:2840594-2841597","source","Delta PSI > 0.05",0.0192,0.0325,0.0204,0.1756,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","SERPINB1","ENSG00000021355.13","ENSG00000021355.13:t:2840419-2840594",5,"3",0,"chr6","-","ENSG00000021355.13:t:2840419-2840594_2840594-2841597",2840594,2841597,2840595,2841215,"chr6:2840594-2841597","target","Delta PSI > 0.05",0.0125,0.03,0.0148,0.1689,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
