gene_name,gene_id,lsv_id,mean_psi_per_lsv_junction,stdev_psi_per_lsv_junction,num_junctions,num_exons,de_novo_junctions,seqid,strand,lsv_junc,junc_start,junc_end,ir_start,ir_end,paste_into_igv_junction,exon_type,.id,color_gene_name
FARP2,ENSG00000006607.14,ENSG00000006607.14:s:241403828-241403932,0.0011,3e-04,4,5,1,chr2,+,ENSG00000006607.14:s:241403828-241403932_241403932-241411033,241403932,241411033,,,chr2:241403932-241411033,source,dox_ctrl,NMD rescued
ST7L,ENSG00000007341.19,ENSG00000007341.19:t:112578345-112578417,0.0148,0.0148,5,5,1,chr1,-,ENSG00000007341.19:t:112578345-112578417_112578417-112579307,112578417,112579307,112578418,112579306,chr1:112578417-112579307,target,dox_ctrl,non-NMD rescued
CYB561,ENSG00000008283.16,ENSG00000008283.16:t:63440237-63440918,0.0513,0.0199,2,2,1,chr17,-,ENSG00000008283.16:t:63440237-63440918_63440918-63441010,63440918,63441010,63440919,63442772,chr17:63440918-63441010,target,dox_ctrl,non-NMD rescued
TEAD3,ENSG00000007866.22,ENSG00000007866.22:s:35476302-35476435,0.0041,0.0031,2,2,1,chr6,-,ENSG00000007866.22:s:35476302-35476435_35476087-35476302,35476087,35476302,,,chr6:35476087-35476302,source,dox_ctrl,NMD rescued
NFIX,ENSG00000008441.19,ENSG00000008441.19:s:13023991-13024034,0.0945,0.0338,2,3,1,chr19,+,ENSG00000008441.19:s:13023991-13024034_13024034-13024535,13024034,13024535,,,chr19:13024034-13024535,source,dox_ctrl,NMD rescued
FYN,ENSG00000010810.17,ENSG00000010810.17:s:111703999-111704102,0.0012,1e-04,2,2,1,chr6,-,ENSG00000010810.17:s:111703999-111704102_111703200-111703999,111703200,111703999,,,chr6:111703200-111703999,source,dox_ctrl,NMD rescued
TSPAN9,ENSG00000011105.14,ENSG00000011105.14:s:3199984-3201256,0.0229,0.0132,5,4,1,chr12,+,ENSG00000011105.14:s:3199984-3201256_3201256-3271722,3201256,3271722,3201257,3206279,chr12:3201256-3271722,source,dox_ctrl,non-NMD rescued
SYT7,ENSG00000011347.10,ENSG00000011347.10:s:61551384-61551463,0.2868,0.0519,4,5,1,chr11,-,ENSG00000011347.10:s:61551384-61551463_61547620-61551384,61547620,61551384,,,chr11:61547620-61551384,source,dox_ctrl,NMD rescued
SYT7,ENSG00000011347.10,ENSG00000011347.10:t:61532989-61533124,0.1169,0.0334,7,7,1,chr11,-,ENSG00000011347.10:t:61532989-61533124_61533124-61547530,61533124,61547530,61533125,61538143,chr11:61533124-61547530,target,dox_ctrl,NMD rescued
WIZ,ENSG00000011451.21,ENSG00000011451.21:s:15449798-15449956,0.032,0.022,2,3,1,chr19,-,ENSG00000011451.21:s:15449798-15449956_15448808-15449798,15448808,15449798,,,chr19:15448808-15449798,source,dox_ctrl,non-NMD rescued
MBTD1,ENSG00000011258.16,ENSG00000011258.16:s:51202701-51202935,0.0145,0.0089,3,3,1,chr17,-,ENSG00000011258.16:s:51202701-51202935_51201696-51202701,51201696,51202701,51202078,51202700,chr17:51201696-51202701,source,dox_ctrl,NMD rescued
ANLN,ENSG00000011426.11,ENSG00000011426.11:t:36410514-36410704,0.0052,0.001,3,3,1,chr7,+,ENSG00000011426.11:t:36410514-36410704_36406566-36410514,36406566,36410514,36407957,36410513,chr7:36406566-36410514,target,dox_ctrl,NMD rescued
AGPAT4,ENSG00000026652.15,ENSG00000026652.15:s:161165838-161166417,0.58,0.0716,3,4,1,chr6,-,ENSG00000026652.15:s:161165838-161166417_161153499-161166248,161153499,161166248,,,chr6:161153499-161166248,source,dox_ctrl,non-NMD rescued
AGPAT4,ENSG00000026652.15,ENSG00000026652.15:t:161153346-161153499,0.4255,0.0585,5,5,1,chr6,-,ENSG00000026652.15:t:161153346-161153499_161153499-161166248,161153499,161166248,161153500,161154148,chr6:161153499-161166248,target,dox_ctrl,non-NMD rescued
AGPAT4,ENSG00000026652.15,ENSG00000026652.15:t:161153346-161153499,0.0076,0.0084,5,5,1,chr6,-,ENSG00000026652.15:t:161153346-161153499_161153499-161155299,161153499,161155299,161153500,161154148,chr6:161153499-161155299,target,dox_ctrl,NMD rescued
HDAC9,ENSG00000048052.24,ENSG00000048052.24:t:18591516-18591642,0.0224,0.0132,3,3,1,chr7,+,ENSG00000048052.24:t:18591516-18591642_18585522-18591516,18585522,18591516,18590487,18591515,chr7:18585522-18591516,target,dox_ctrl,non-NMD rescued
TRIT1,ENSG00000043514.17,ENSG00000043514.17:s:39883318-39883511,0.0734,0.0273,9,9,1,chr1,-,ENSG00000043514.17:s:39883318-39883511_39848097-39883318,39848097,39883318,39876133,39883317,chr1:39848097-39883318,source,dox_ctrl,non-NMD rescued
TRIT1,ENSG00000043514.17,ENSG00000043514.17:t:39847986-39848097,0.0903,0.0354,5,3,1,chr1,-,ENSG00000043514.17:t:39847986-39848097_39848097-39883318,39848097,39883318,39848098,39850118,chr1:39848097-39883318,target,dox_ctrl,non-NMD rescued
TRIO,ENSG00000038382.23,ENSG00000038382.23:t:14492370-14492814,0.0758,0.0166,6,4,1,chr5,+,ENSG00000038382.23:t:14492370-14492814_14489097-14492567,14489097,14492567,14489818,14492369,chr5:14489097-14492567,target,dox_ctrl,non-NMD rescued
WDR37,ENSG00000047056.18,ENSG00000047056.18:s:1072116-1072293,0.0021,0.0012,3,3,1,chr10,+,ENSG00000047056.18:s:1072116-1072293_1072293-1080011,1072293,1080011,1072294,1073885,chr10:1072293-1080011,source,dox_ctrl,NMD rescued
WDR37,ENSG00000047056.18,ENSG00000047056.18:s:1093452-1093496,0.0439,0.0189,3,3,1,chr10,+,ENSG00000047056.18:s:1093452-1093496_1093496-1095668,1093496,1095668,1093497,1095667,chr10:1093496-1095668,source,dox_ctrl,NMD rescued
WDR37,ENSG00000047056.18,ENSG00000047056.18:t:1080011-1080106,0.0013,3e-04,3,4,1,chr10,+,ENSG00000047056.18:t:1080011-1080106_1072293-1080011,1072293,1080011,,,chr10:1072293-1080011,target,dox_ctrl,NMD rescued
ZCCHC8,ENSG00000033030.15,ENSG00000033030.15:s:122492715-122492789,0.0015,8e-04,4,4,1,chr12,-,ENSG00000033030.15:s:122492715-122492789_122489463-122492715,122489463,122492715,122491054,122492714,chr12:122489463-122492715,source,dox_ctrl,NMD rescued
SIKE1,ENSG00000052723.12,ENSG00000052723.12:s:114780387-114780685,0.0014,0.0011,5,3,1,chr1,-,ENSG00000052723.12:s:114780387-114780685_114780215-114780387,114780215,114780387,,,chr1:114780215-114780387,source,dox_ctrl,NMD rescued
CYFIP2,ENSG00000055163.21,ENSG00000055163.21:s:157360282-157360372,0.0336,0.0138,3,4,1,chr5,+,ENSG00000055163.21:s:157360282-157360372_157360372-157361269,157360372,157361269,,,chr5:157360372-157361269,source,dox_ctrl,non-NMD rescued
CYFIP2,ENSG00000055163.21,ENSG00000055163.21:t:157361405-157361598,0.0395,0.0153,3,4,1,chr5,+,ENSG00000055163.21:t:157361405-157361598_157361336-157361468,157361336,157361468,,,chr5:157361336-157361468,target,dox_ctrl,NMD rescued
RSF1,ENSG00000048649.14,ENSG00000048649.14:s:77820528-77820869,0.1546,0.0258,6,3,1,chr11,-,ENSG00000048649.14:s:77820528-77820869_77813787-77820528,77813787,77820528,77813788,77820527,chr11:77813787-77820528,source,dox_ctrl,non-NMD rescued
RSF1,ENSG00000048649.14,ENSG00000048649.14:s:77820528-77820869,0.0239,0.0133,6,3,1,chr11,-,ENSG00000048649.14:s:77820528-77820869_77813783-77820528,77813783,77820528,77813788,77820527,chr11:77813783-77820528,source,dox_ctrl,NMD rescued
RFXANK,ENSG00000064490.14,ENSG00000064490.14:t:19197521-19197663,0.0049,0.0013,3,4,1,chr19,+,ENSG00000064490.14:t:19197521-19197663_19197336-19197521,19197336,19197521,,,chr19:19197336-19197521,target,dox_ctrl,NMD rescued
UNKL,ENSG00000059145.19,ENSG00000059145.19:s:1369934-1370357,0.0548,0.0283,3,2,1,chr16,-,ENSG00000059145.19:s:1369934-1370357_1368114-1370130,1368114,1370130,,,chr16:1368114-1370130,source,dox_ctrl,non-NMD rescued
PSD,ENSG00000059915.17,ENSG00000059915.17:s:102418701-102418785,0.3671,0.0635,3,4,1,chr10,-,ENSG00000059915.17:s:102418701-102418785_102418046-102418701,102418046,102418701,,,chr10:102418046-102418701,source,dox_ctrl,non-NMD rescued
