paste_into_igv_junction,auc,avg_fpr,avg_tpr,fpr_value,tpr_value,group,value_not_path,value_tdp_path,n_samples_not_path,n_samples_tdp_path,frac_ob_not_path,frac_ob_tdp_path,gene_name
chr13:96091569-96095910,0.998148148148148,0.0067340067340067,0.790909090909091,0.0370370370370371,1,RiMOD,1,20,27,20,0.037037037037037,1,HS6ST3
chr20:63439708-63444659,0.994444444444444,0.00705467372134039,0.54047619047619,0,0.75,RiMOD,1,19,27,20,0.037037037037037,0.95,KCNQ2
chr8:79611214-79616822,0.975,0,0.5,0,0.7,RiMOD,0,19,27,20,0,0.95,STMN2
chr1:21598502-21598723,0.960185185185185,0.0257648953301127,0.565217391304348,0,0.7,RiMOD,2,17,27,20,0.0740740740740741,0.85,RAP1GAP
chr1:21598820-21599494,0.958333333333333,0.056241426611797,0.624074074074074,0,0.7,RiMOD,4,19,27,20,0.148148148148148,0.95,RAP1GAP
chr11:128992046-128998319,0.956481481481481,0.199430199430199,0.730769230769231,0,0.8,RiMOD,11,19,27,20,0.407407407407407,0.95,ARHGAP32
chr6:16585907-16589446,0.95,0,0.475,0,0.65,RiMOD,0,15,27,20,0,0.75,ATXN1
chr7:45735670-45736787,0.946296296296296,0.00389863547758285,0.494736842105263,0,0.85,RiMOD,1,12,27,20,0.037037037037037,0.6,"SEPTIN7P2,ENSG00000291207"
chr8:79611214-79616822,0.932582417582418,0.00252403846153848,0.459598214285714,0,0.514285714285714,FTD frontal/temporal,1,52,130,70,0.00769230769230769,0.742857142857143,STMN2
chr7:44258610-44258872,0.925,0,0.45,0,0.75,RiMOD,0,17,27,20,0,0.85,CAMK2B
chr7:100650643-100655019,0.918518518518519,0.0727023319615913,0.601851851851852,0,0.75,RiMOD,5,16,27,20,0.185185185185185,0.8,ACTL6B
chr6:16589513-16657776,0.906481481481481,0.035426731078905,0.552173913043478,0,0.8,RiMOD,2,16,27,20,0.0740740740740741,0.8,ATXN1
chr10:133166939-133167381,0.9,0,0.425,0,0.55,RiMOD,0,13,27,20,0,0.65,KNDC1
chr19:17641556-17642414,0.9,0,0.425,0,0.65,RiMOD,0,13,27,20,0,0.65,UNC13A
chr7:44254607-44258490,0.9,0,0.425,0,0.6,RiMOD,0,11,27,20,0,0.55,CAMK2B
chr20:63439708-63444659,0.892967032967033,0.00525030525030523,0.447392290249433,0,0.6,FTD frontal/temporal,1,49,130,70,0.00769230769230769,0.7,KCNQ2
chr3:120908428-120909571,0.890740740740741,0.00871459694989107,0.438235294117647,0.0370370370370371,0.65,RiMOD,1,13,27,20,0.037037037037037,0.65,STXBP5L
chr10:133160569-133161085,0.885185185185185,0.158900836320191,0.601612903225806,0.185185185185185,0.75,RiMOD,11,18,27,20,0.407407407407407,0.9,KNDC1
chr2:3458515-3460263,0.885185185185185,0.01440329218107,0.455555555555556,0.0370370370370371,0.75,RiMOD,1,14,27,20,0.037037037037037,0.7,TRAPPC12
chr7:100650135-100650575,0.883333333333333,0.116049382716049,0.618333333333333,0,0.8,RiMOD,4,17,27,20,0.148148148148148,0.85,ACTL6B
chr19:3278316-3281199,0.875,0,0.4,0,0.6,RiMOD,0,11,27,20,0,0.55,CELF5
chr2:241668985-241670726,0.875,0,0.4,0,0.65,RiMOD,0,11,27,20,0,0.55,ATG4B
chr1:21598820-21599494,0.861428571428571,0.0400394477317554,0.50018315018315,0.0230769230769231,0.6,FTD frontal/temporal,10,46,130,70,0.0769230769230769,0.657142857142857,RAP1GAP
chr10:3099819-3101365,0.86,0.232532051282051,0.654761904761905,0.0846153846153847,0.657142857142857,FTD frontal/temporal,50,56,130,70,0.384615384615385,0.8,PFKP
chr10:3099819-3101365,0.855555555555556,0.209876543209877,0.641666666666667,0.148148148148148,0.75,RiMOD,17,18,27,20,0.62962962962963,0.9,PFKP
chr10:127382041-127384790,0.85,0,0.375,0,0.65,RiMOD,0,7,27,20,0,0.35,DOCK1
chr13:25553920-25554580,0.85,0,0.375,0,0.6,RiMOD,0,11,27,20,0,0.55,ATP8A2
chr19:7169831-7170537,0.85,0.0660225442834138,0.510869565217391,0.0370370370370371,0.55,RiMOD,2,14,27,20,0.0740740740740741,0.7,INSR
chr7:45622743-45625299,0.85,0,0.375,0,0.5,RiMOD,0,11,27,20,0,0.55,ADCY1
chr7:45625377-45648670,0.85,0,0.375,0,0.65,RiMOD,0,9,27,20,0,0.45,ADCY1
chr16:4367442-4387986,0.849074074074074,0.0261437908496732,0.414705882352941,0.0370370370370371,0.65,RiMOD,1,13,27,20,0.037037037037037,0.65,"CORO7-PAM16,CORO7"
chr19:1235342-1235501,0.84537037037037,0.213507625272331,0.617647058823529,0.148148148148148,0.7,RiMOD,14,18,27,20,0.518518518518519,0.9,CBARP
chr19:45770640-45771568,0.84537037037037,0.188552188552189,0.595454545454546,0.185185185185185,0.7,RiMOD,8,18,27,20,0.296296296296296,0.9,DMPK
chr19:1235342-1235501,0.843846153846154,0.326207513416816,0.694019933554817,0.138461538461538,0.7,FTD frontal/temporal,88,65,130,70,0.676923076923077,0.928571428571429,CBARP
chr9:128162947-128166257,0.841666666666667,0.205387205387205,0.587878787878788,0.259259259259259,0.75,RiMOD,9,16,27,20,0.333333333333333,0.8,CIZ1
chr11:128992046-128998319,0.841428571428572,0.0730346576500423,0.521507064364207,0.0230769230769231,0.542857142857143,FTD frontal/temporal,14,45,130,70,0.107692307692308,0.642857142857143,ARHGAP32
chr10:133160569-133161153,0.840740740740741,0.0723905723905725,0.493181818181818,0.0740740740740741,0.65,RiMOD,6,14,27,20,0.222222222222222,0.7,KNDC1
