gene_name,paste_into_igv_junction,junc_cat,baseline_PSI,contrast_PSI,comparison,strand,is_cryptic,n_significant_data
GGCT,chr7:30497896-30500536,annotated,0.0055,0.1699,controlfergusonhela-tdp43kdfergusonhela,-,TRUE,1
RSF1,chr11:77813787-77820528,novel_acceptor,0.0225,0.4226,controlfergusonhela-tdp43kdfergusonhela,-,TRUE,4
AHRR,chr5:370338-376610,ambig_gene,0.0383,0.1326,controlfergusonhela-tdp43kdfergusonhela,+,TRUE,1
STXBP2,chr19:7637186-7639731,ambig_gene,0.0131,0.1885,controlfergusonhela-tdp43kdfergusonhela,+,TRUE,1
STXBP2,chr19:7637186-7639731,ambig_gene,0.0094,0.1532,controlfergusonhela-tdp43kdfergusonhela,+,TRUE,1
SYNJ2,chr6:158017290-158019984,novel_acceptor,0.0336,0.55,controlfergusonhela-tdp43kdfergusonhela,+,TRUE,4
TASP1,chr20:13617123-13623446,annotated,0.0233,0.1207,controlfergusonhela-tdp43kdfergusonhela,-,TRUE,1
PDZD11,chrX:70289354-70290404,annotated,0.0353,0.1948,controlfergusonhela-tdp43kdfergusonhela,-,TRUE,1
PKN1,chr19:14446561-14450088,novel_acceptor,0.0027,0.2438,controlfergusonhela-tdp43kdfergusonhela,+,TRUE,6
MTRR,chr5:7878322-7885701,novel_exon_skip,0.0186,0.4723,controlfergusonhela-tdp43kdfergusonhela,+,TRUE,7
MTRR,chr5:7878322-7885701,novel_exon_skip,0.0149,0.4221,controlfergusonhela-tdp43kdfergusonhela,+,TRUE,7
ARHGEF16,chr1:3469593-3470000,novel_acceptor,0.0072,0.2233,controlfergusonhela-tdp43kdfergusonhela,+,TRUE,2
ARHGEF16,chr1:3471792-3472768,none,0.0075,0.1993,controlfergusonhela-tdp43kdfergusonhela,+,TRUE,1
MTSS2,chr16:70669046-70674306,novel_acceptor,0.013,0.1488,controlfergusonhela-tdp43kdfergusonhela,-,TRUE,5
MTSS2,chr16:70665540-70668999,novel_donor,0.0168,0.137,controlfergusonhela-tdp43kdfergusonhela,-,TRUE,4
NOCT,chr4:139031381-139045749,none,0.0016,0.1404,controlfergusonhela-tdp43kdfergusonhela,+,TRUE,1
FBXO41,chr2:73266682-73284160,novel_exon_skip,0.0021,0.1223,controlfergusonhela-tdp43kdfergusonhela,-,TRUE,1
FBXO41,chr2:73266805-73268725,none,0.0232,0.2405,controlfergusonhela-tdp43kdfergusonhela,-,TRUE,3
RUFY3,chr4:70789592-70800141,annotated,0.0449,0.1144,controlfergusonhela-tdp43kdfergusonhela,+,TRUE,1
