.id,gene_name,gene_id,lsv_id,mean_psi_per_lsv_junction,stdev_psi_per_lsv_junction,num_junctions,num_exons,de_novo_junctions,seqid,strand,lsv_junc,junc_start,junc_end,ir_start,ir_end,paste_into_igv_junction,exon_type,color_gene_name,alpha_gene_name,label_junction
Control_Control,MAD1L1,ENSG00000002822.16,ENSG00000002822.16:t:1898200-1898390,0.0082,0.0096,2,3,1,chr7,-,ENSG00000002822.16:t:1898200-1898390_1898390-1957629,1898390,1957629,,,chr7:1898390-1957629,target,NMD rescued,0,""
Control_Control,KLHL13,ENSG00000003096.14,ENSG00000003096.14:s:117972731-117973738,0.0478,0.0288,4,4,1,chrX,-,ENSG00000003096.14:s:117972731-117973738_117971689-117972731,117971689,117972731,,,chrX:117971689-117972731,source,non-NMD rescued,0,""
Control_Control,STPG1,ENSG00000001460.18,ENSG00000001460.18:s:24373702-24373810,0.0156,0.0201,2,3,1,chr1,-,ENSG00000001460.18:s:24373702-24373810_24361041-24373702,24361041,24373702,,,chr1:24361041-24373702,source,NMD rescued,0,""
Control_Control,STPG1,ENSG00000001460.18,ENSG00000001460.18:t:24360851-24361041,0.0208,0.0285,2,3,1,chr1,-,ENSG00000001460.18:t:24360851-24361041_24361041-24373702,24361041,24373702,,,chr1:24361041-24373702,target,NMD rescued,0,""
Control_Control,MCUB,ENSG00000005059.16,ENSG00000005059.16:t:109685251-109685367,0.0376,0.0512,3,3,1,chr4,+,ENSG00000005059.16:t:109685251-109685367_109684549-109685251,109684549,109685251,,,chr4:109684549-109685251,target,NMD rescued,0,""
Control_Control,MTMR7,ENSG00000003987.14,ENSG00000003987.14:t:17301651-17302423,0.0121,0.0147,2,3,1,chr8,-,ENSG00000003987.14:t:17301651-17302423_17302423-17307737,17302423,17307737,,,chr8:17302423-17307737,target,NMD rescued,0,""
Control_Control,FAM214B,ENSG00000005238.20,ENSG00000005238.20:t:35108594-35108737,0.0031,0.0065,8,5,1,chr9,-,ENSG00000005238.20:t:35108594-35108737_35108737-35111567,35108737,35111567,,,chr9:35108737-35111567,target,NMD rescued,0,""
Control_Control,KIAA0100,ENSG00000007202.15,ENSG00000007202.15:t:28640397-28640683,0.0043,0.0064,5,3,1,chr17,-,ENSG00000007202.15:t:28640397-28640683_28640683-28642275,28640683,28642275,,,chr17:28640683-28642275,target,non-NMD rescued,0,""
Control_Control,CRAMP1,ENSG00000007545.16,ENSG00000007545.16:t:1614639-1614985,0.0089,0.0154,4,4,1,chr16,+,ENSG00000007545.16:t:1614639-1614985_1613491-1614639,1613491,1614639,,,chr16:1613491-1614639,target,NMD rescued,0,""
Control_Control,JARID2,ENSG00000008083.14,ENSG00000008083.14:s:15512915-15513045,0.0213,0.0295,2,3,1,chr6,+,ENSG00000008083.14:s:15512915-15513045_15513045-15517161,15513045,15517161,,,chr6:15513045-15517161,source,non-NMD rescued,0,""
Control_Control,CELSR3,ENSG00000008300.17,ENSG00000008300.17:s:48650268-48650289,0.0034,0.0054,5,3,1,chr3,-,ENSG00000008300.17:s:48650268-48650289_48649717-48650275,48649717,48650275,48649718,48650267,chr3:48649717-48650275,source,NMD rescued,0,""
Control_Control,CELSR3,ENSG00000008300.17,ENSG00000008300.17:t:48649121-48649215,0.0374,0.0247,5,4,1,chr3,-,ENSG00000008300.17:t:48649121-48649215_48649215-48650268,48649215,48650268,48649216,48649533,chr3:48649215-48650268,target,non-NMD rescued,0,""
Control_Control,CELSR3,ENSG00000008300.17,ENSG00000008300.17:t:48649121-48649215,0.0021,0.0023,5,4,1,chr3,-,ENSG00000008300.17:t:48649121-48649215_48649215-48649534,48649215,48649534,48649216,48649533,chr3:48649215-48649534,target,NMD rescued,0,""
Control_Control,MPND,ENSG00000008382.16,ENSG00000008382.16:s:4345745-4345981,0.0044,0.0035,2,2,1,chr19,+,ENSG00000008382.16:s:4345745-4345981_4345982-4352896,4345982,4352896,4345982,4352896,chr19:4345982-4352896,source,NMD rescued,0,""
Control_Control,NFIX,ENSG00000008441.18,ENSG00000008441.18:s:13024939-13025552,0.0046,0.0056,3,3,1,chr19,+,ENSG00000008441.18:s:13024939-13025552_13025552-13067345,13025552,13067345,,,chr19:13025552-13067345,source,NMD rescued,0,""
Control_Control,NFIX,ENSG00000008441.18,ENSG00000008441.18:t:13073047-13073109,0.0023,0.0036,6,6,1,chr19,+,ENSG00000008441.18:t:13073047-13073109_13067434-13073047,13067434,13073047,,,chr19:13067434-13073047,target,NMD rescued,0,""
Control_Control,TTC19,ENSG00000011295.16,ENSG00000011295.16:s:16006474-16006568,0.0123,0.013,3,4,1,chr17,+,ENSG00000011295.16:s:16006474-16006568_16006568-16008978,16006568,16008978,,,chr17:16006568-16008978,source,NMD rescued,0,""
