gene,paste_into_igv_junction,paste_into_igv_junction_annotated,strand,junc_cat,junc_in_ref,cryptic,junction_for_clustering,ID_exon,last_exon,dox0_sh,dox0125,dox0187,dox021,dox025,dox075,tdp43_sensitivity_sh,max_psi_sh,dox0_be2,dox002,dox003,dox004,dox005,dox0075,dox01,dox1,tdp43_sensitivity_be2,max_psi_be2,UMAP_1_together,UMAP_2_together,cluster_together,UMAP_1_sh,UMAP_2_sh,cluster_sh,UMAP_1_be2,UMAP_2_be2,cluster_be2,score_cryptic,score_ann,phastCons_alt,phastCons_unchanged,longest_ug_region,dist_nearest_ug_region,width
AARS1,chr16:70272882-70276486,chr16:70271972-70276486,-,acceptor,FALSE,yes,no,1,FALSE,0,0,0,0,0,0.193,Intermediate,Bottom,,,,,,,,,Late,,,,,,,,,,,7.46,7.83,0.1248,0.997799999,44,2,4514
AARS1,chr16:70271972-70272796,chr16:70271972-70276486,-,donor,FALSE,yes,yes,1,FALSE,0,0,0,0,0.156,0.19,Intermediate,Bottom,0,0,0,0,0,0,0,0.225,Late,Bottom,1.55480086,1.733335864,5,-0.300551227,-2.414395139,5,3.726977451,-5.229525344,5,9.37,5.7,0.0052,0.985899991,44,86,4514
ABCA2,chr9:137023840-137024143,chr9:137023052-137024143,-,acceptor,TRUE,no,yes,2,FALSE,0.336,0.336,0.467,0.467,0.467,0.68,Intermediate,Medium,,,,,,,,,,,,,,,,,,,,,,0.659399998,0.9935,16,74,1091
ABCD1,chrX:153740237-153740305,chrX:153740237-153740574,+,acceptor,FALSE,yes,yes,3,FALSE,0.003,0.003,0.003,0.003,0.003,0.408,Late,Top,0.008,0.008,0.008,0.008,0.349,0.433,0.478,0.478,Intermediate,Top,-1.642151819,3.170706401,4,-2.97130761,-2.367714869,1,-2.072804671,-0.86892472,2,5.83,10.28,0.0918,0.953400004,20,126,337
ABCD1,chrX:153740439-153740574,chrX:153740237-153740574,+,donor,FALSE,yes,no,3,FALSE,0.003,0.003,0.003,0.003,0.003,0.231,Late,Bottom,0.008,0.008,0.008,0.008,0.248,0.255,0.316,0.353,Intermediate,Medium,,,,,,,,,,3.14,5.19,0.0015,0.999700004,16,6,337
ABI1,chr10:26755741-26759062,chr10:26751783-26759062,-,acceptor,TRUE,no,yes,4,FALSE,0.68,0.68,0.853,0.89,0.893,0.991,Early,Medium,0.628,0.628,0.844,0.901,0.881,0.889,0.912,0.921,Early,Medium,,,,,,,,,,,,0.999900001,1,16,2,7279
ABI1,chr10:26751783-26755655,chr10:26751783-26759062,-,donor,TRUE,no,no,4,FALSE,0.76,0.76,0.868,0.914,0.907,0.992,Early,Bottom,0.617,0.617,0.854,0.902,0.877,0.883,0.897,0.913,Early,Medium,,,,,,,,,,,,1,0.999300003,0,,7279
ABI2,chr2:203380384-203382189,chr2:203380384-203391046,+,acceptor,TRUE,no,yes,5,FALSE,0.187,0.187,0.187,0.187,0.187,0.427,Late,Bottom,,,,,,,,,,,,,,,,,,,,,,1,0.998100007,0,,10662
ABI2,chr2:203382206-203391046,chr2:203380384-203391046,+,donor,TRUE,no,no,5,FALSE,0.19,0.19,0.19,0.19,0.19,0.402,Late,Bottom,,,,,,,,,,,,,,,,,,,,,,1,0.999900001,0,,10662
ABR,chr17:1073677-1079330,chr17:1073677-1079330,-,exon_skip,TRUE,no,yes,6,FALSE,0.509,0.509,0.666,0.654,0.649,0.726,Early,Bottom,,,,,,,,,,,,,,,,,,,,,,,,,,5653
ACAD10,chr12:111690553-111691059,chr12:111686239-111692696,+,acceptor,TRUE,yes,yes,7,FALSE,,,,,,,,,0.038,0.366,0.342,0.342,0.342,0.341,0.341,0.32,Early,Medium,-0.867285105,9.00698053,9,,,,0.346920289,1.179794409,4,,,0.0109,0.181200001,16,134,6457
ACAP2,chr3:195320813-195325444,chr3:195320813-195326885,-,donor,TRUE,no,yes,8,FALSE,0.262,0.262,0.262,0.262,0.262,0.629,Late,Medium,,,,,,,,,,,,,,,,,,,,,,0.999100006,0.998799998,0,,6072
ACOT11,chr1:54599415-54600963,chr1:54599415-54601269,+,acceptor,FALSE,yes,yes,9,FALSE,,,,,,,,,0.05,0.6,0.984,0.984,0.955,0.958,0.985,0.956,Early,Top,-2.220949584,9.181535405,9,,,,-1.48308175,5.771341135,1,,,0.0065,0.984199995,24,126,1854
ACOT9,chrX:23734367-23735919,chrX:23733217-23735919,-,acceptor,TRUE,no,no,10,FALSE,,,,,,,,,0.055,0.055,0.055,0.055,0.055,0.055,0.055,0.286,Late,Bottom,,,,,,,,,,,,0.789399993,0.0151,20,22,2702
ACOT9,chrX:23733217-23734341,chrX:23733217-23735919,-,donor,TRUE,no,yes,10,FALSE,,,,,,,,,0.067,0.067,0.067,0.067,0.067,0.067,0.067,0.316,Late,Bottom,,,,,,,,,,,,0.995499998,0.935900003,20,2,2702
ACSF2,chr17:50461686-50461820,chr17:50461686-50462184,+,acceptor,FALSE,yes,no,11,FALSE,0.003,0.003,0.157,0.157,0.426,0.919,Early,Top,,,,,,,,,Intermediate,,,,,,,,,,,4.94,8.04,0.0016,0.971400005,36,106,498
ACSF2,chr17:50461885-50462184,chr17:50461686-50462184,+,donor,FALSE,yes,yes,11,FALSE,0.003,0.003,0.209,0.184,0.5,0.944,Early,Top,0.009,0.009,0.009,0.009,0.271,0.545,0.545,0.841,Intermediate,Top,-2.310012699,3.443531312,4,1.101337595,5.248382923,4,-2.235268995,-0.435866961,2,7,7.1,0.0256,0.858400005,40,106,498
