paste_into_igv_junction,color_gene_name,Control_Control,Cycloheximide_Control,Control_TDP43KD,Cycloheximide_TDP43KD,normal_cryptic_chx,chx_cryptic,chx_effect,gene_name,gene_id,ensgene
chr7:1898390-1957629,NMD rescued,0.0082,0.0475,0.0059,0.123,FALSE,TRUE,Dark cryptic,MAD1L1,ENSG00000002822.16,ENSG00000002822
chr7:1898390-1957629,NMD rescued,0.0082,0.0475,0.0059,0.123,FALSE,TRUE,Dark cryptic,RP11-383A19.1,ENSG00000286192.1,ENSG00000286192
chrX:117971689-117972731,non-NMD rescued,0.0478,0.0422,0.148,0.1364,TRUE,TRUE,non-NMD rescued,KLHL13,ENSG00000003096.14,ENSG00000003096
chr1:24361041-24373702,NMD rescued,0.0208,0.0287,0.0055,0.1272,FALSE,TRUE,Dark cryptic,STPG1,ENSG00000001460.18,ENSG00000001460
chr4:109684549-109685251,NMD rescued,0.0376,0.016,0.1133,0.214,TRUE,TRUE,NMD rescued,MCUB,ENSG00000005059.16,ENSG00000005059
chr8:17302423-17307737,NMD rescued,0.0121,0.0064,0.0049,0.175,FALSE,TRUE,Dark cryptic,MTMR7,ENSG00000003987.14,ENSG00000003987
chr9:35108737-35111567,NMD rescued,0.0031,0.0249,0.0173,0.1392,FALSE,TRUE,Dark cryptic,FAM214B,ENSG00000005238.20,ENSG00000005238
chr17:28640683-28642275,non-NMD rescued,0.0043,0.0346,0.0295,0.105,FALSE,TRUE,Dark cryptic,KIAA0100,ENSG00000007202.15,ENSG00000007202
chr16:1613491-1614639,NMD rescued,0.0089,0.025,0.0047,0.1208,FALSE,TRUE,Dark cryptic,CRAMP1,ENSG00000007545.16,ENSG00000007545
chr6:15513045-15517161,non-NMD rescued,0.0213,0.0395,0.0221,0.1078,FALSE,TRUE,Dark cryptic,JARID2,ENSG00000008083.14,ENSG00000008083
chr3:48649717-48650275,NMD rescued,0.0034,0.0035,0.0512,0.5199,FALSE,TRUE,Dark cryptic,CELSR3,ENSG00000008300.17,ENSG00000008300
chr3:48649215-48650268,non-NMD rescued,0.0374,0.0196,0.0447,0.1028,FALSE,TRUE,Dark cryptic,CELSR3,ENSG00000008300.17,ENSG00000008300
chr3:48649215-48649534,NMD rescued,0.0021,6e-04,0.0422,0.425,FALSE,TRUE,Dark cryptic,CELSR3,ENSG00000008300.17,ENSG00000008300
chr19:4345982-4352896,NMD rescued,0.0044,0.0467,0.0101,0.1518,FALSE,TRUE,Dark cryptic,MPND,ENSG00000008382.16,ENSG00000008382
chr19:13025552-13067345,NMD rescued,0.0046,0.0023,0.0792,0.3369,FALSE,TRUE,Dark cryptic,NFIX,ENSG00000008441.18,ENSG00000008441
chr19:13067434-13073047,NMD rescued,0.0023,0.0012,0.1139,0.3159,TRUE,TRUE,NMD rescued,NFIX,ENSG00000008441.18,ENSG00000008441
chr17:16006568-16008978,NMD rescued,0.0123,0.0455,0.0245,0.1657,FALSE,TRUE,Dark cryptic,TTC19,ENSG00000011295.16,ENSG00000011295
chr19:15427533-15432434,non-NMD rescued,0.0335,0.0393,0.035,0.1049,FALSE,TRUE,Dark cryptic,WIZ,ENSG00000011451.21,ENSG00000011451
chr9:123076762-123084643,non-NMD rescued,0.003,0.0431,0.0185,0.1103,FALSE,TRUE,Dark cryptic,RABGAP1,ENSG00000011454.18,ENSG00000011454
chr17:50353320-50354264,NMD rescued,0.0192,0.031,0.0031,0.131,FALSE,TRUE,Dark cryptic,XYLT2,ENSG00000015532.10,ENSG00000015532
chr12:15960814-15962813,non-NMD rescued,0.0248,0.0328,0.0171,0.103,FALSE,TRUE,Dark cryptic,DERA,ENSG00000023697.13,ENSG00000023697
chr6:161153499-161165577,non-NMD rescued,0.0035,0.0243,0.0065,0.1054,FALSE,TRUE,Dark cryptic,AGPAT4,ENSG00000026652.15,ENSG00000026652
chr1:68485138-68486937,NMD rescued,0.0027,9e-04,9e-04,0.1025,FALSE,TRUE,Dark cryptic,DEPDC1,ENSG00000024526.17,ENSG00000024526
chr5:14488260-14489030,non-NMD rescued,0.0027,0.0232,0.344,0.2629,TRUE,TRUE,non-NMD rescued,TRIO,ENSG00000038382.20,ENSG00000038382
chr5:14489097-14492567,non-NMD rescued,0.0435,0.0454,0.2617,0.2524,TRUE,TRUE,non-NMD rescued,TRIO,ENSG00000038382.20,ENSG00000038382
chr10:1093496-1095668,NMD rescued,0.0121,0.0136,0.0299,0.1692,FALSE,TRUE,Dark cryptic,WDR37,ENSG00000047056.16,ENSG00000047056
chr10:1093497-1095667,non-NMD rescued,0.0121,0.0086,0.0885,0.1261,FALSE,TRUE,non-NMD rescued,WDR37,ENSG00000047056.16,ENSG00000047056
chr10:1095829-1096170,NMD rescued,0.0121,0.0021,0.119,0.2225,TRUE,TRUE,NMD rescued,WDR37,ENSG00000047056.16,ENSG00000047056
chr10:1095830-1096169,non-NMD rescued,0.0121,0.0087,0.0791,0.1195,FALSE,TRUE,non-NMD rescued,WDR37,ENSG00000047056.16,ENSG00000047056
chr5:113592178-113593482,non-NMD rescued,0.0172,0.0359,0.0903,0.108,FALSE,TRUE,non-NMD rescued,YTHDC2,ENSG00000047188.16,ENSG00000047188
chr5:74697106-74700753,non-NMD rescued,0.0253,0.0409,0.0851,0.1029,FALSE,TRUE,non-NMD rescued,HEXB,ENSG00000049860.14,ENSG00000049860
chr16:27708920-27720536,non-NMD rescued,0.0217,0.0383,0.0038,0.1034,FALSE,TRUE,Dark cryptic,KATNIP,ENSG00000047578.13,ENSG00000047578
chr11:77813787-77820528,non-NMD rescued,0.0017,2e-04,0.3515,0.2492,TRUE,TRUE,non-NMD rescued,RSF1,ENSG00000048649.14,ENSG00000048649
chr11:77813783-77820528,non-NMD rescued,0.0017,2e-04,0.1042,0.1207,TRUE,TRUE,non-NMD rescued,RSF1,ENSG00000048649.14,ENSG00000048649
chr20:56000847-56001290,non-NMD rescued,0.0045,0.0432,0.1154,0.181,TRUE,TRUE,NMD rescued,CBLN4,ENSG00000054803.4,ENSG00000054803
chr5:157360372-157361269,NMD rescued,0.001,2e-04,0.0501,0.1828,FALSE,TRUE,Dark cryptic,CYFIP2,ENSG00000055163.20,ENSG00000055163
chr5:157330227-157330742,non-NMD rescued,0.001,3e-04,0.0154,0.1091,FALSE,TRUE,Dark cryptic,CYFIP2,ENSG00000055163.20,ENSG00000055163
chr5:157361336-157361468,NMD rescued,0.0013,3e-04,0.0867,0.3259,FALSE,TRUE,Dark cryptic,CYFIP2,ENSG00000055163.20,ENSG00000055163
chr11:43405717-43407138,NMD rescued,0.0061,0.0408,0.0033,0.1256,FALSE,TRUE,Dark cryptic,TTC17,ENSG00000052841.15,ENSG00000052841
chr7:152199459-152220523,NMD rescued,0.0455,0.0343,0.0345,0.1512,FALSE,TRUE,Dark cryptic,KMT2C,ENSG00000055609.21,ENSG00000055609
chr5:154037455-154038388,NMD rescued,0.0084,0.0021,0.0168,0.1313,FALSE,TRUE,Dark cryptic,FAM114A2,ENSG00000055147.19,ENSG00000055147
chr5:154037455-154038293,non-NMD rescued,0.0084,0.0021,0.3316,0.3461,TRUE,TRUE,non-NMD rescued,FAM114A2,ENSG00000055147.19,ENSG00000055147
chr5:154034967-154037438,NMD rescued,0.0026,0.0065,0.0826,0.2498,FALSE,TRUE,Dark cryptic,FAM114A2,ENSG00000055147.19,ENSG00000055147
chr17:78836372-78836897,non-NMD rescued,0.0033,0.0037,0.2278,0.1256,TRUE,TRUE,non-NMD rescued,USP36,ENSG00000055483.19,ENSG00000055483
chr9:122883379-122888616,non-NMD rescued,0.0048,0.0433,0.0229,0.1143,FALSE,TRUE,Dark cryptic,RC3H2,ENSG00000056586.16,ENSG00000056586
chr10:102418046-102418701,NMD rescued,0.0144,0.0035,0.5259,0.7525,TRUE,TRUE,NMD rescued,PSD,ENSG00000059915.17,ENSG00000059915
chr10:102417121-102417940,NMD rescued,0.0144,0.0035,0.3256,0.6365,TRUE,TRUE,NMD rescued,PSD,ENSG00000059915.17,ENSG00000059915
chr10:102417121-102417908,non-NMD rescued,0.0144,0.0035,0.0695,0.1259,FALSE,TRUE,Dark cryptic,PSD,ENSG00000059915.17,ENSG00000059915
chr1:29236789-29255275,non-NMD rescued,0.0075,0.0053,0.0876,0.1564,FALSE,TRUE,Dark cryptic,PTPRU,ENSG00000060656.20,ENSG00000060656
chr19:50415826-50416610,NMD rescued,0.0207,0.0455,0.0036,0.1124,FALSE,TRUE,Dark cryptic,POLD1,ENSG00000062822.15,ENSG00000062822
chr19:50415826-50416610,NMD rescued,0.0207,0.0455,0.0036,0.1124,FALSE,TRUE,Dark cryptic,CTD-2545M3.6,ENSG00000142539.9,ENSG00000142539
chr4:41359803-41473005,non-NMD rescued,0.0201,0.0052,0.0786,0.1475,FALSE,TRUE,Dark cryptic,LIMCH1,ENSG00000064042.18,ENSG00000064042
chr17:28959840-28960505,NMD rescued,0.0329,0.0213,0.0097,0.114,FALSE,TRUE,Dark cryptic,SEZ6,ENSG00000063015.20,ENSG00000063015
chr6:34867616-34871584,NMD rescued,0.0125,0.0286,0.0138,0.1314,FALSE,TRUE,Dark cryptic,UHRF1BP1,ENSG00000065060.17,ENSG00000065060
chr10:3099352-3099557,non-NMD rescued,0.0027,9e-04,0.8566,0.7316,TRUE,TRUE,non-NMD rescued,PFKP,ENSG00000067057.18,ENSG00000067057
chr10:3099352-3099624,NMD rescued,0.0027,9e-04,0.1046,0.2592,TRUE,TRUE,NMD rescued,PFKP,ENSG00000067057.18,ENSG00000067057
chr10:3099819-3101365,non-NMD rescued,0.0036,0.0012,0.9602,0.9821,TRUE,TRUE,PSI > 95% at baseline,PFKP,ENSG00000067057.18,ENSG00000067057
chr1:92605402-92624176,NMD rescued,0.025,0.048,0.0153,0.1612,FALSE,TRUE,Dark cryptic,EVI5,ENSG00000067208.15,ENSG00000067208
chr1:92513970-92518696,NMD rescued,0.0139,0.0348,0.1073,0.3483,TRUE,TRUE,NMD rescued,EVI5,ENSG00000067208.15,ENSG00000067208
chr17:42669621-42670573,NMD rescued,0.0039,0.0398,0.0089,0.1159,FALSE,TRUE,Dark cryptic,PLEKHH3,ENSG00000068137.15,ENSG00000068137
chr10:132749845-132777671,NMD rescued,0.0057,0.0041,0.0018,0.1477,FALSE,TRUE,Dark cryptic,INPP5A,ENSG00000068383.19,ENSG00000068383
chr2:46995199-46998669,non-NMD rescued,0.0095,0.0407,0.0735,0.1127,FALSE,TRUE,non-NMD rescued,TTC7A,ENSG00000068724.17,ENSG00000068724
chr2:46998879-47005922,NMD rescued,0.0057,0.0017,0.0101,0.1176,FALSE,TRUE,Dark cryptic,TTC7A,ENSG00000068724.17,ENSG00000068724
