cryptic	ctrl
AARS1_acceptor_1	AARS1_12_32
AARS1_acceptor_1	AARS1_12_15
AARS1_acceptor_1	AARS1_12_4
AARS1_acceptor_1	AARS1_8_81
AARS1_acceptor_1	AARS1_6_14
AARS1_acceptor_1	AARS1_8_17
AARS1_acceptor_1	AARS1_8_58
AARS1_acceptor_1	AARS1_4_11
AARS1_acceptor_1	AARS1_10_11
AARS1_acceptor_1	AARS1_3_19
AARS1_donor_1	AARS1_8_35
AARS1_donor_1	AARS1_8_9
AARS1_donor_1	AARS1_3_24
AARS1_donor_1	AARS1_8_24
AARS1_donor_1	AARS1_12_33
AARS1_donor_1	AARS1_9_24
AARS1_donor_1	AARS1_8_89
AARS1_donor_1	AARS1_9_10
AARS1_donor_1	AARS1_12_7
AARS1_donor_1	AARS1_4_20
ABCD1_acceptor_1	ABCD1_4_26
ABCD1_acceptor_1	ABCD1_1_16
ABCD1_acceptor_1	ABCD1_4_4
ABCD1_acceptor_1	ABCD1_4_16
ABCD1_acceptor_1	ABCD1_1_41
ABCD1_acceptor_1	ABCD1_1_52
ABCD1_acceptor_1	ABCD1_1_2
ABCD1_acceptor_1	ABCD1_3_3
ABCD1_acceptor_1	ABCD1_4_36
ABCD1_acceptor_1	ABCD1_1_30
ABCD1_donor_1	ABCD1_1_17
ABCD1_donor_1	ABCD1_4_1
ABCD1_donor_1	ABCD1_1_7
ABCD1_donor_1	ABCD1_3_1
ABCD1_donor_1	ABCD1_1_48
ABCD1_donor_1	ABCD1_4_29
ABCD1_donor_1	ABCD1_4_19
ABCD1_donor_1	ABCD1_1_29
ACAD10_acceptor_1	ACAD10_1_58
ACAD10_acceptor_1	ACAD10_5_29
ACAD10_acceptor_1	ACAD10_3_103
ACAD10_acceptor_1	ACAD10_2_42
ACAD10_acceptor_1	ACAD10_1_47
ACAD10_acceptor_1	ACAD10_3_40
ACAD10_acceptor_1	ACAD10_7_15
ACAD10_acceptor_1	ACAD10_1_2
ACAD10_acceptor_1	ACAD10_2_24
ACAD10_acceptor_1	ACAD10_6_17
ACOT11_acceptor_1	ACOT11_12_620
