gene_name,paste_into_igv_junction,group,auc,fpr_value,tpr_value,value_not_path,value_tdp_path,frac_ob_not_path,frac_ob_tdp_path,n_samples_not_path,n_samples_tdp_path,true_dark,strand,datasets_detected,new_cate,tdp43_sensitivity_be2,tdp43_sensitivity_sh,chx_effect,upf1_effect,smg1_effect
EXTL3,chr8:28701659-28731223,Cord,0.494401737967914,0.248366013071895,0.223011363636364,4,41,0.0261437908496732,0.0582386363636364,153,704,TRUE,+,UPF1 - i3Cortical,"","","","",Dark cryptic,""
EXTL3,chr8:28701659-28731223,FTD frontal/temporal,0.52467032967033,0.353846153846154,0.428571428571429,28,13,0.215384615384615,0.185714285714286,130,70,TRUE,+,UPF1 - i3Cortical,"","","","",Dark cryptic,""
EXTL3,chr8:28701659-28731223,Motor Cortex,0.440348440853428,0.426966292134832,0.330337078651685,9,54,0.101123595505618,0.121348314606742,89,445,TRUE,+,UPF1 - i3Cortical,"","","","",Dark cryptic,""
EXTL3,chr8:28701659-28731223,RiMOD,0.578703703703704,0.62962962962963,0.8,6,4,0.222222222222222,0.2,27,20,TRUE,+,UPF1 - i3Cortical,"","","","",Dark cryptic,""
CTTNBP2,chr7:117863026-117873335,Cord,0.497683637849079,0.0261437908496732,0.0213068181818182,1,3,0.0065359477124183,0.00426136363636364,153,704,TRUE,-,UPF1 - i3Cortical,"","","","",Dark cryptic,""
CTTNBP2,chr7:117863026-117873335,FTD frontal/temporal,0.503241758241758,0.00769230769230767,0.0142857142857143,0,0,0,0,130,70,TRUE,-,UPF1 - i3Cortical,"","","","",Dark cryptic,""
CTTNBP2,chr7:117863026-117873335,Motor Cortex,0.495530867314733,0.0224719101123596,0.0134831460674157,0,1,0,0.00224719101123596,89,445,TRUE,-,UPF1 - i3Cortical,"","","","",Dark cryptic,""
DELE1,chr5:141933401-141933951,Cord,0.489003082293524,0.0457516339869281,0.0241477272727273,1,2,0.0065359477124183,0.00284090909090909,153,704,TRUE,+,UPF1 - i3Cortical,"","","","",Dark cryptic,""
DELE1,chr5:141933401-141933951,FTD frontal/temporal,0.470274725274725,0.2,0.142857142857143,6,1,0.0461538461538462,0.0142857142857143,130,70,TRUE,+,UPF1 - i3Cortical,"","","","",Dark cryptic,""
DELE1,chr5:141933401-141933951,Motor Cortex,0.473664941295291,0.213483146067416,0.157303370786517,3,11,0.0337078651685393,0.0247191011235955,89,445,TRUE,+,UPF1 - i3Cortical,"","","","",Dark cryptic,""
DELE1,chr5:141933401-141933951,RiMOD,0.531481481481482,0.222222222222222,0.25,6,5,0.222222222222222,0.25,27,20,TRUE,+,UPF1 - i3Cortical,"","","","",Dark cryptic,""
SEZ6L,chr22:26195698-26292406,Cord,0.500710227272727,0,0.00142045454545455,0,1,0,0.00142045454545455,153,704,TRUE,+,UPF1 - i3Cortical,"","","","",Dark cryptic,""
SEZ6L,chr22:26195698-26292406,FTD frontal/temporal,0.492307692307692,0.0153846153846153,0,1,0,0.00769230769230769,0,130,70,TRUE,+,UPF1 - i3Cortical,"","","","",Dark cryptic,""
SEZ6L,chr22:26195698-26292406,Motor Cortex,0.504494382022472,0,0.00898876404494382,0,4,0,0.00898876404494382,89,445,TRUE,+,UPF1 - i3Cortical,"","","","",Dark cryptic,""
SEZ6L,chr22:26195698-26292406,RiMOD,0.62962962962963,0.0370370370370371,0.3,0,4,0,0.2,27,20,TRUE,+,UPF1 - i3Cortical,"","","","",Dark cryptic,""
NFKB1,chr4:102553891-102566987,Cord,0.514613042186572,0.0784313725490197,0.109375,4,13,0.0261437908496732,0.0184659090909091,153,704,TRUE,+,UPF1 - i3Cortical,"","","","",Dark cryptic,""
NFKB1,chr4:102553891-102566987,FTD frontal/temporal,0.616483516483517,0.561538461538462,0.757142857142857,61,17,0.469230769230769,0.242857142857143,130,70,TRUE,+,UPF1 - i3Cortical,"","","","",Dark cryptic,""
NFKB1,chr4:102553891-102566987,Motor Cortex,0.517156924630728,0.50561797752809,0.604494382022472,46,200,0.51685393258427,0.449438202247191,89,445,TRUE,+,UPF1 - i3Cortical,"","","","",Dark cryptic,""
NFKB1,chr4:102553891-102566987,RiMOD,0.598148148148148,0.481481481481482,0.7,16,11,0.592592592592593,0.55,27,20,TRUE,+,UPF1 - i3Cortical,"","","","",Dark cryptic,""
ERMARD,chr6:169776673-169781330,Cord,0.504980874925728,0.0392156862745098,0.0482954545454545,0,10,0,0.0142045454545455,153,704,TRUE,+,UPF1 - i3Cortical,"","","","",Dark cryptic,""
ERMARD,chr6:169776673-169781330,FTD frontal/temporal,0.495659340659341,0.0230769230769231,0.0142857142857143,0,0,0,0,130,70,TRUE,+,UPF1 - i3Cortical,"","","","",Dark cryptic,""
ERMARD,chr6:169776673-169781330,Motor Cortex,0.504456508016665,0.0112359550561798,0.0202247191011236,1,2,0.0112359550561798,0.00449438202247191,89,445,TRUE,+,UPF1 - i3Cortical,"","","","",Dark cryptic,""
ERMARD,chr6:169776673-169781330,RiMOD,0.486111111111111,0.0740740740740741,0.05,1,0,0.037037037037037,0,27,20,TRUE,+,UPF1 - i3Cortical,"","","","",Dark cryptic,""
MBOAT2,chr2:8888073-9003540,Never observed,,,,0,0,0,0,,,TRUE,-,UPF1 - i3Cortical,"","","","",Dark cryptic,""
SOGA1,chr20:36781304-36852826,Never observed,,,,0,0,0,0,,,TRUE,-,UPF1 - i3Cortical,"","","","",Dark cryptic,""
RABGEF1,chr7:66712224-66713328,Cord,0.49893233808675,0.352941176470588,0.346590909090909,19,84,0.124183006535948,0.119318181818182,153,704,TRUE,+,UPF1 - i3Cortical,"","","","",Dark cryptic,""
RABGEF1,chr7:66712224-66713328,FTD frontal/temporal,0.487747252747253,0.292307692307692,0.271428571428571,14,7,0.107692307692308,0.1,130,70,TRUE,+,UPF1 - i3Cortical,"","","","",Dark cryptic,""
RABGEF1,chr7:66712224-66713328,Motor Cortex,0.484320161595758,0.325842696629214,0.28314606741573,5,39,0.0561797752808989,0.0876404494382022,89,445,TRUE,+,UPF1 - i3Cortical,"","","","",Dark cryptic,""
RABGEF1,chr7:66712224-66713328,RiMOD,0.52037037037037,0.333333333333333,0.35,7,6,0.259259259259259,0.3,27,20,TRUE,+,UPF1 - i3Cortical,"","","","",Dark cryptic,""
RP11-792A8.5,chr7:66712224-66713328,Cord,0.49893233808675,0.352941176470588,0.346590909090909,19,84,0.124183006535948,0.119318181818182,153,704,TRUE,+,UPF1 - i3Cortical,"","","","",Dark cryptic,""
RP11-792A8.5,chr7:66712224-66713328,FTD frontal/temporal,0.487747252747253,0.292307692307692,0.271428571428571,14,7,0.107692307692308,0.1,130,70,TRUE,+,UPF1 - i3Cortical,"","","","",Dark cryptic,""
RP11-792A8.5,chr7:66712224-66713328,Motor Cortex,0.484320161595758,0.325842696629214,0.28314606741573,5,39,0.0561797752808989,0.0876404494382022,89,445,TRUE,+,UPF1 - i3Cortical,"","","","",Dark cryptic,""
RP11-792A8.5,chr7:66712224-66713328,RiMOD,0.52037037037037,0.333333333333333,0.35,7,6,0.259259259259259,0.3,27,20,TRUE,+,UPF1 - i3Cortical,"","","","",Dark cryptic,""
TMUB1,chr7:151082458-151083434,Cord,0.571018085264409,0.490196078431373,0.599431818181818,54,194,0.352941176470588,0.275568181818182,153,704,TRUE,-,UPF1 - i3Cortical,"","","","",Dark cryptic,""
TMUB1,chr7:151082458-151083434,FTD frontal/temporal,0.641043956043956,0.346153846153846,0.571428571428571,49,37,0.376923076923077,0.528571428571429,130,70,TRUE,-,UPF1 - i3Cortical,"","","","",Dark cryptic,""
TMUB1,chr7:151082458-151083434,Motor Cortex,0.523330387577326,0.528089887640449,0.584269662921348,21,111,0.235955056179775,0.249438202247191,89,445,TRUE,-,UPF1 - i3Cortical,"","","","",Dark cryptic,""
TMUB1,chr7:151082458-151083434,RiMOD,0.589814814814815,0.111111111111111,0.3,3,3,0.111111111111111,0.15,27,20,TRUE,-,UPF1 - i3Cortical,"","","","",Dark cryptic,""
ZFYVE1,chr14:72993357-72997028,Cord,0.464525772430184,0.248366013071895,0.178977272727273,11,30,0.0718954248366013,0.0426136363636364,153,704,TRUE,-,UPF1 - i3Cortical,"","","","",Dark cryptic,""
ZFYVE1,chr14:72993357-72997028,FTD frontal/temporal,0.473186813186813,0.138461538461538,0.0857142857142857,6,1,0.0461538461538462,0.0142857142857143,130,70,TRUE,-,UPF1 - i3Cortical,"","","","",Dark cryptic,""
ZFYVE1,chr14:72993357-72997028,Motor Cortex,0.478260320666583,0.157303370786517,0.114606741573034,2,11,0.0224719101123596,0.0247191011235955,89,445,TRUE,-,UPF1 - i3Cortical,"","","","",Dark cryptic,""
ZFYVE1,chr14:72993357-72997028,RiMOD,0.431481481481482,0.296296296296296,0.15,2,2,0.0740740740740741,0.1,27,20,TRUE,-,UPF1 - i3Cortical,"","","","",Dark cryptic,""
ATF7IP2,chr16:10457529-10473479,Cord,0.479686571598336,0.281045751633987,0.255681818181818,11,43,0.0718954248366013,0.0610795454545455,153,704,TRUE,+,UPF1 - i3Cortical,"","","","",Dark cryptic,""
