position,cryptic,controls,n_cry,n_ctrl,timing,repeat_cat,junc_type,exon_inclusion_type,pv,OR,adj.p,logOR,rows
0,0,641,37,20039,Early,LINE,acceptor,_99___In_frame.fa_rm.bed,0.632398823777378,0,1,0,Early_LINE
1,0,808,37,20039,Early,LINE,acceptor,_99___In_frame.fa_rm.bed,0.404027891121168,0,1,0,Early_LINE
2,1,908,37,20039,Early,LINE,acceptor,_99___In_frame.fa_rm.bed,1,0.585266717155548,1,0,Early_LINE
3,2,975,37,20039,Early,LINE,acceptor,_99___In_frame.fa_rm.bed,0.701114759333253,1.11729687194368,1,0,Early_LINE
4,2,1036,37,20039,Early,LINE,acceptor,_99___In_frame.fa_rm.bed,0.717026167555653,1.04816911851739,1,0,Early_LINE
5,4,1109,37,20039,Early,LINE,acceptor,_99___In_frame.fa_rm.bed,0.146941590395989,2.06891849836091,1,0,Early_LINE
6,4,1155,37,20039,Early,LINE,acceptor,_99___In_frame.fa_rm.bed,0.162989402475434,1.98171294106995,1,0,Early_LINE
7,4,1197,37,20039,Early,LINE,acceptor,_99___In_frame.fa_rm.bed,0.280021943766347,1.90797738793612,1,0,Early_LINE
8,4,1227,37,20039,Early,LINE,acceptor,_99___In_frame.fa_rm.bed,0.285362229452992,1.8582163823924,1,0,Early_LINE
9,4,1262,37,20039,Early,LINE,acceptor,_99___In_frame.fa_rm.bed,0.292294689952789,1.80341580463353,1,0,Early_LINE
10,4,1286,37,20039,Early,LINE,acceptor,_99___In_frame.fa_rm.bed,0.297458943488118,1.76749905108926,1,0,Early_LINE
11,4,1314,37,20039,Early,LINE,acceptor,_99___In_frame.fa_rm.bed,0.303880077442112,1.72725375620103,1,0,Early_LINE
12,4,1337,37,20039,Early,LINE,acceptor,_99___In_frame.fa_rm.bed,0.309456093771205,1.69545563387507,1,0,Early_LINE
13,4,1362,37,20039,Early,LINE,acceptor,_99___In_frame.fa_rm.bed,0.315807515323991,1.66211008685142,1,0,Early_LINE
14,4,1386,37,20039,Early,LINE,acceptor,_99___In_frame.fa_rm.bed,0.322173328625861,1.63122973217945,1,0,Early_LINE
15,4,1413,37,20039,Early,LINE,acceptor,_99___In_frame.fa_rm.bed,0.329629534727487,1.59774294735051,1,0,Early_LINE
16,4,1431,37,20039,Early,LINE,acceptor,_99___In_frame.fa_rm.bed,0.334763400758332,1.57612036071558,1,0,Early_LINE
17,4,1448,37,20039,Early,LINE,acceptor,_99___In_frame.fa_rm.bed,0.339725193960177,1.55619262100008,1,0,Early_LINE
