ID_exon,paste_into_igv_junction,ss_score_cryptic,tdp43_sensitivity_sh,cryptic,alt_site,normal_site,ss_score_ann
469,chr1:1044988-1045160,-13.23,Early,yes,1044988,1045160,8.7
341,chr1:21598502-21598723,6.51,Early,yes,21598723,21598502,7.54
241,chr1:53271346-53274643,2.7,,yes,53274643,53271346,7.22
183,chr1:108896431-108896864,6.6,Early,yes,108896431,108896864,10.77
355,chr1:145784596-145788612,10.65,Early,yes,145788612,145784596,8.35
274,chr1:201804497-201807953,10.06,Early,yes,201804497,201807953,6.86
30,chr1:243512426-243523309,6.64,Late,yes,243523309,243512426,10.57
337,chr2:1649675-1650800,7.0,Intermediate,yes,1650800,1649675,2.74
450,chr2:3458515-3460263,6.14,Intermediate,yes,3458515,3460263,8.23
483,chr2:19975663-19977925,10.29,Intermediate,yes,19977925,19975663,5.46
126,chr2:25237005-25237139,0.78,Intermediate,yes,25237139,25237005,8.08
239,chr2:65048212-65051279,10.24,,yes,65051279,65048212,4.87
47,chr2:241668985-241670726,10.13,Early,yes,241668985,241670726,8.61
199,chr3:129484024-129488257,4.51,,yes,129484024,129488257,8.63
202,chr4:57203595-57204478,1.19,Intermediate,yes,57203595,57204478,8.23
65,chr4:86888275-86890048,10.9,,yes,86890048,86888275,7.65
439,chr4:158245404-158253444,8.04,,yes,158245404,158253444,9.79
95,chr5:648223-652988,9.81,Early,yes,648223,652988,5.4
453,chr5:14489097-14492567,4.8,Intermediate,yes,14489097,14492567,7.79
151,chr5:112266330-112267210,7.65,Early,yes,112267210,112266330,8.73
86,chr5:115813258-115813898,8.95,Early,yes,115813898,115813258,9.6
324,chr5:120672228-120685954,10.07,Intermediate,yes,120672228,120685954,7.66
324,chr5:120672228-120685954,10.07,Intermediate,yes,120672228,120685954,11.08
170,chr5:177089940-177090390,6.64,Early,yes,177089940,177090390,5.53
221,chr6:18214679-18215006,-21.22,,yes,18214679,18215006,-10.86
209,chr7:2565071-2567116,5.84,Intermediate,yes,2565071,2567116,10.65
16,chr7:45625377-45648670,9.08,Early,yes,45625377,45648670,11.81
16,chr7:45625430-45648670,2.34,Early,yes,45625430,45648670,11.81
372,chr7:45728313-45735607,10.49,Early,yes,45735607,45728313,8.07
457,chr7:98881736-98881975,2.45,Intermediate,yes,98881736,98881975,9.3
12,chr7:100650135-100650575,4.93,Early,yes,100650575,100650135,10.9
304,chr9:93661647-93662906,-24.27,Late,yes,93661647,93662906,6.03
292,chr9:128956174-128956350,5.37,Intermediate,yes,128956174,128956350,9.99
302,chr10:3099819-3101365,4.88,Early,yes,3099819,3101365,7.23
475,chr10:11485911-11487803,7.48,Intermediate,yes,11487803,11485911,9.48
41,chr10:48583152-48583378,8.07,,yes,48583378,48583152,9.65
120,chr10:77792543-77793165,10.22,Late,yes,77793165,77792543,10.28
127,chr10:127382041-127384790,9.14,Early,yes,127382041,127384790,8.99
299,chr10:133391154-133391312,4.3,Early,yes,133391154,133391312,9.8
116,chr11:8750725-8780133,8.59,,yes,8780133,8750725,10.22
491,chr11:58617054-58617196,6.97,Intermediate,yes,58617054,58617196,8.34
421,chr11:61547308-61547530,7.12,Early,yes,61547530,61547308,7.33
438,chr12:43836884-43844624,6.93,Early,yes,43836884,43844624,9.89
438,chr12:43836901-43844624,8.34,Early,yes,43836901,43844624,9.89
252,chr12:116022601-116054245,9.21,Intermediate,yes,116054245,116022601,9.6
338,chr13:110524197-110541889,7.94,Early,yes,110541889,110524197,10.07
293,chr14:24412691-24412997,7.8,Early,yes,24412691,24412997,3.97
293,chr14:24412691-24412997,7.8,Early,yes,24412691,24412997,-26.3
190,chr15:42565880-42566607,10.47,Intermediate,yes,42565880,42566607,10.13
212,chr15:74130665-74131207,11.81,Early,yes,74130665,74131207,8.05
1,chr16:70271972-70272796,9.37,Intermediate,yes,70272796,70271972,7.83
267,chr16:70666396-70668999,7.81,Intermediate,yes,70668999,70666396,10.07
222,chr17:6579864-6580932,6.64,Intermediate,yes,6580932,6579864,8.68
271,chr17:29122253-29124653,9.46,Intermediate,yes,29124653,29122253,7.77
11,chr17:50461885-50462184,7.0,Early,yes,50461885,50462184,8.04
259,chr17:76937368-76937988,8.73,Early,yes,76937368,76937988,9.99
191,chr19:4492152-4493703,6.14,Early,yes,4492152,4493703,6.91
144,chr19:11458611-11463496,7.43,Early,yes,11463496,11458611,8.46
283,chr19:13024719-13025021,5.84,Late,yes,13024719,13025021,6.49
283,chr19:13024723-13025021,6.51,Late,yes,13024723,13025021,6.49
468,chr19:17621871-17623117,-24.34,,yes,17623117,17621871,10.44
466,chr19:17641556-17642414,8.73,Early,yes,17642414,17641556,8.41
467,chr19:17652677-17652953,5.26,Intermediate,yes,17652953,17652677,10.03
219,chr19:33800186-33800428,-1.74,Intermediate,yes,33800186,33800428,7.48
220,chr19:33800189-33800427,-17.54,Early,yes,33800189,33800427,-28.12
380,chr19:38008195-38029089,7.66,,yes,38008195,38029089,10.65
122,chr20:3343731-3344641,6.14,,yes,3344641,3343731,9.81
492,chr20:63732045-63733219,6.96,Intermediate,yes,63732045,63733219,9.65
179,chr22:19821375-19823987,2.53,Intermediate,yes,19823987,19821375,8.56
339,chr22:20122697-20125308,6.05,Intermediate,yes,20122697,20125308,5.67
3,chrX:153740439-153740574,3.14,Late,yes,153740439,153740574,10.28
